FA년도,구단명,선수명,포지션,투,타,인정년수,구분,FA등급,플레이년도,나이,게임수,타석수,타수,득점,안타,2루타,3루타,사구,홈런,타점,도루성공,도루실패,볼넷,삼진,병살타,희생플라이,평균대비수비득점기여,수비_포지션 RAA,전체수비 RAA,공격WAR,수비WAR,연봉,비고,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM 순위,TEAM 게임수,TEAM 타석수,TEAM 타수,TEAM 득점,TEAM 안타,TEAM 2루타,TEAM 3루타,TEAM 사구,TEAM 홈런,TEAM 타점,TEAM 도루,TEAM 도루실패,TEAM 볼넷,TEAM 삼진,TEAM 병살타,TEAM 희생플라이,TEAM 평균대비수비득점기여,TEAM 수비_포지션 RAA,TEAM 전체수비 RAA,TEAM 공격WAR,TEAM 수비WAR,TEAM 연봉,wRC+
2023,삼성,강민호,C,우투,우타,,FA 1년차,,2022,37.0,130.0,444.0,396.0,38.0,102.0,19.0,1.0,3.0,13.0,66.0,0.0,0.0,41.0,58.0,21.0,3.0,-0.42,6.29,5.87,1.86,-0.04,60000.0,,,,,7.0,144.0,5647.0,5023.0,663.0,1358.0,241.0,19.0,54.0,103.0,627.0,91.0,27.0,446.0,1029.0,119.0,41.0,-21.46,0.42,-28.41,18.17,-2.21,842300.0,102.0
2021,삼성,강한울,SS,우투,좌타,7.0,신규,C,2020,29.0,34.0,122.0,105.0,13.0,32.0,3.0,0.0,0.0,1.0,10.0,1.0,0.0,11.0,24.0,3.0,1.0,-1.39,1.77,0.38,0.72,-0.13,12000.0,대졸,,,,8.0,144.0,5574.0,4923.0,699.0,1317.0,211.0,12.0,62.0,129.0,658.0,132.0,49.0,486.0,990.0,117.0,53.0,7.63,37.86,-0.69,12.29,0.72,548800.0,93.7
2022,삼성,강한울,SS,우투,좌타,7.0,신규,C,2021,30.0,124.0,258.0,223.0,25.0,58.0,5.0,0.0,0.0,0.0,27.0,2.0,2.0,29.0,58.0,5.0,3.0,-4.81,1.35,-3.46,0.15,-0.48,12000.0,대졸,,,,3.0,144.0,5552.0,4836.0,712.0,1292.0,204.0,18.0,55.0,133.0,669.0,116.0,44.0,545.0,902.0,98.0,68.0,-10.3,12.57,-19.22,18.47,-1.19,578200.0,71.3
2023,삼성,강한울,3B,우투,좌타,7.0,신규,C,2022,31.0,94.0,252.0,226.0,31.0,73.0,12.0,1.0,0.0,1.0,26.0,4.0,2.0,20.0,48.0,2.0,2.0,0.12,0.94,1.05,1.64,0.01,10000.0,대졸,,,,7.0,144.0,5647.0,5023.0,663.0,1358.0,241.0,19.0,54.0,103.0,627.0,91.0,27.0,446.0,1029.0,119.0,41.0,-21.46,0.42,-28.41,18.17,-2.21,842300.0,115.3
2024,삼성,강한울,3B,우투,좌타,7.0,신규,C,2023,32.0,72.0,240.0,212.0,30.0,46.0,7.0,2.0,0.0,0.0,10.0,1.0,3.0,20.0,54.0,4.0,2.0,2.81,0.21,3.02,-0.66,0.29,15000.0,대졸,잔류,2.0,3.0,8.0,144.0,5581.0,4912.0,636.0,1290.0,208.0,23.0,62.0,88.0,603.0,103.0,35.0,487.0,954.0,114.0,43.0,-15.16,-4.02,-21.28,15.69,-0.28,838000.0,48.9
2025,삼성,강한울,3B,우투,좌타,,FA 1년차,,2024,33.0,18.0,25.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,0.28,0.08,0.36,-0.47,0.01,10000.0,,,,,2.0,144.0,5697.0,4975.0,770.0,1336.0,204.0,17.0,87.0,185.0,734.0,113.0,29.0,531.0,1150.0,94.0,47.0,40.08,58.78,32.37,15.67,3.36,796600.0,-81.5
2013,두산,고영민,2B,우투,우타,9.0,신규,A,2012,28.0,58.0,173.0,151.0,33.0,40.0,10.0,1.0,3.0,3.0,26.0,7.0,1.0,13.0,28.0,5.0,0.0,0.76,1.22,1.98,1.12,0.03,8000.0,고졸,,,,3.0,133.0,4938.0,4379.0,524.0,1139.0,172.0,26.0,54.0,59.0,490.0,116.0,51.0,362.0,659.0,129.0,40.0,25.84,9.99,28.8,17.39,0.02,299900.0,112.7
2014,두산,고영민,2B,우투,우타,9.0,신규,A,2013,29.0,10.0,17.0,14.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,5.0,1.0,0.0,-0.81,0.15,-0.66,0.26,-0.09,7500.0,고졸,,,,2.0,128.0,5142.0,4401.0,699.0,1271.0,217.0,37.0,79.0,95.0,654.0,172.0,61.0,524.0,717.0,105.0,56.0,8.01,-0.56,7.44,36.32,1.04,345000.0,139.3
2015,두산,고영민,2B,우투,우타,9.0,신규,A,2014,30.0,52.0,108.0,94.0,18.0,27.0,2.0,0.0,0.0,1.0,7.0,1.0,1.0,11.0,18.0,3.0,2.0,1.26,0.89,2.15,0.16,0.11,7500.0,고졸,,,,6.0,128.0,5083.0,4427.0,687.0,1299.0,235.0,26.0,64.0,108.0,646.0,111.0,44.0,468.0,731.0,103.0,43.0,-11.11,-15.9,-19.65,19.88,-0.98,336800.0,80.1
2016,두산,고영민,2B,우투,우타,9.0,신규,A,2015,31.0,41.0,77.0,67.0,13.0,22.0,1.0,0.0,3.0,3.0,11.0,4.0,2.0,6.0,22.0,4.0,1.0,-1.45,-0.64,-2.09,0.41,-0.13,7500.0,고졸,잔류,2.0,5.0,1.0,144.0,5759.0,4957.0,807.0,1436.0,254.0,22.0,99.0,140.0,770.0,111.0,47.0,567.0,820.0,139.0,60.0,4.5,-15.85,-3.26,29.31,0.42,588000.0,137.9
2017,두산,고영민,2B,우투,우타,,FA 1년차,,2016,32.0,8.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.16,0.01,0.17,0.04,0.01,15000.0,,,,,1.0,144.0,5841.0,5044.0,935.0,1504.0,284.0,25.0,86.0,183.0,877.0,85.0,45.0,600.0,884.0,121.0,68.0,2.92,4.73,-5.63,33.4,0.45,567400.0,142.8
2021,SK,고종욱,LF,우투,좌타,9.0,자격유지,C,2020,31.0,92.0,288.0,272.0,24.0,77.0,9.0,3.0,1.0,3.0,26.0,1.0,3.0,14.0,55.0,3.0,1.0,-2.82,-4.25,-7.07,-0.17,-0.27,17000.0,고졸,,,,9.0,144.0,5502.0,4839.0,634.0,1212.0,177.0,17.0,69.0,143.0,595.0,81.0,45.0,511.0,981.0,112.0,34.0,-0.01,3.87,-10.2,8.09,-0.18,770800.0,75.0
2022,SSG,고종욱,LF,우투,좌타,9.0,자격유지,C,2021,32.0,88.0,199.0,180.0,25.0,48.0,5.0,0.0,0.0,2.0,18.0,2.0,3.0,16.0,30.0,6.0,2.0,-4.0,-2.33,-6.33,-0.1,-0.4,11000.0,고졸,,,,6.0,144.0,5736.0,4899.0,755.0,1278.0,204.0,13.0,94.0,185.0,712.0,100.0,43.0,636.0,1056.0,106.0,52.0,-11.21,8.62,-21.75,27.4,-0.52,962700.0,73.0
2023,KIA,고종욱,DH,우투,좌타,9.0,자격유지,C,2022,33.0,62.0,114.0,106.0,13.0,30.0,7.0,1.0,0.0,2.0,14.0,1.0,0.0,7.0,21.0,2.0,0.0,-1.39,-1.52,-2.92,0.44,-0.14,7000.0,고졸,,,,5.0,144.0,5703.0,5000.0,720.0,1361.0,250.0,19.0,63.0,113.0,677.0,103.0,34.0,542.0,983.0,111.0,36.0,5.59,3.87,-1.59,28.69,0.19,567000.0,108.5
2024,KIA,고종욱,LF,우투,좌타,9.0,자격유지,C,2023,34.0,114.0,286.0,270.0,35.0,80.0,17.0,0.0,0.0,3.0,39.0,2.0,2.0,14.0,58.0,3.0,2.0,-1.2,-3.84,-5.03,0.68,-0.12,7000.0,고졸,잔류,2.0,5.0,6.0,144.0,5607.0,4954.0,726.0,1365.0,224.0,21.0,46.0,101.0,673.0,122.0,34.0,500.0,957.0,115.0,44.0,10.65,18.24,1.88,24.07,0.89,494300.0,99.6
2025,KIA,고종욱,LF,우투,좌타,,FA 1년차,,2024,35.0,28.0,36.0,32.0,3.0,8.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,6.0,2.0,0.0,-0.93,-0.22,-1.15,0.06,-0.09,15000.0,,,,,1.0,144.0,5812.0,5124.0,858.0,1542.0,266.0,28.0,59.0,163.0,812.0,125.0,44.0,529.0,915.0,119.0,53.0,-30.14,-12.27,-38.22,30.65,-2.59,602700.0,92.0
2011,SK,권용관,SS,우투,우타,10.0,자격유지,A,2010,34.0,61.0,180.0,154.0,14.0,35.0,6.0,1.0,1.0,3.0,21.0,2.0,2.0,14.0,34.0,2.0,2.0,-1.24,1.09,-0.15,0.11,0.12,7800.0,고졸,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,62.4
2012,SK,권용관,SS,우투,우타,10.0,자격유지,A,2011,35.0,28.0,68.0,57.0,8.0,12.0,3.0,1.0,1.0,1.0,10.0,0.0,1.0,6.0,23.0,0.0,0.0,0.47,0.68,1.15,0.03,0.22,7600.0,고졸,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,71.8
2013,SK,권용관,SS,우투,우타,10.0,자격유지,A,2012,36.0,3.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.09,0.11,-0.04,0.02,6600.0,고졸,,,,2.0,133.0,4996.0,4347.0,564.0,1120.0,197.0,15.0,58.0,108.0,523.0,104.0,75.0,445.0,864.0,85.0,28.0,26.13,-5.91,13.09,23.64,2.38,371100.0,-11.9
2014,LG,권용관,SS,우투,우타,10.0,자격유지,A,2013,37.0,68.0,122.0,104.0,19.0,24.0,6.0,0.0,1.0,4.0,13.0,1.0,0.0,12.0,29.0,1.0,0.0,2.38,1.36,3.73,0.79,0.45,5500.0,고졸,잔류,1.0,1.0,3.0,128.0,4930.0,4287.0,615.0,1209.0,193.0,38.0,59.0,59.0,574.0,139.0,71.0,451.0,806.0,80.0,42.0,-14.07,2.68,-11.39,22.22,0.07,399500.0,107.8
2015,LG,권용관,SS,우투,우타,,FA 1년차,,2014,38.0,8.0,21.0,17.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,1.0,1.0,-1.25,0.42,-0.83,-0.23,-0.11,8000.0,,,,,4.0,128.0,5070.0,4349.0,668.0,1214.0,213.0,22.0,63.0,90.0,622.0,105.0,64.0,524.0,817.0,112.0,57.0,10.35,-11.98,0.93,13.69,0.92,502800.0,-41.8
2020,NC,권희동,RF,우투,우타,7.0,신규,B,2019,29.0,116.0,413.0,348.0,37.0,89.0,17.0,0.0,7.0,6.0,41.0,3.0,0.0,50.0,60.0,10.0,3.0,0.44,-4.25,-3.81,1.35,0.05,14000.0,대졸,,,,5.0,144.0,5631.0,4968.0,674.0,1383.0,249.0,26.0,83.0,128.0,639.0,87.0,45.0,456.0,880.0,126.0,60.0,10.59,22.04,3.58,25.29,0.91,796700.0,99.8
2021,NC,권희동,RF,우투,우타,7.0,신규,B,2020,30.0,123.0,426.0,346.0,67.0,90.0,16.0,0.0,11.0,12.0,50.0,3.0,0.0,58.0,72.0,6.0,5.0,3.72,-4.17,-0.44,1.91,0.35,13500.0,대졸,,,,1.0,144.0,5833.0,5102.0,888.0,1483.0,258.0,28.0,104.0,187.0,845.0,101.0,38.0,529.0,997.0,106.0,51.0,9.88,13.19,2.77,32.11,1.24,741800.0,110.1
2022,NC,권희동,RF,우투,우타,7.0,신규,B,2021,31.0,55.0,171.0,133.0,25.0,35.0,3.0,0.0,5.0,8.0,26.0,2.0,0.0,29.0,24.0,4.0,3.0,-1.42,-1.75,-3.16,1.4,-0.14,17000.0,대졸,,,,7.0,144.0,5532.0,4808.0,702.0,1254.0,203.0,17.0,111.0,170.0,670.0,101.0,46.0,511.0,1093.0,94.0,43.0,-14.94,3.78,-23.57,22.15,-0.97,838500.0,143.5
