FA년도,구단명,선수명,포지션,투,타,인정년수,구분,FA등급,플레이년도,나이,게임수,타석수,타수,득점,안타,2루타,3루타,사구,홈런,타점,도루성공,도루실패,볼넷,삼진,병살타,희생플라이,평균대비수비득점기여,수비_포지션 RAA,전체수비 RAA,공격WAR,수비WAR,연봉,비고,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM 순위,TEAM 게임수,TEAM 타석수,TEAM 타수,TEAM 득점,TEAM 안타,TEAM 2루타,TEAM 3루타,TEAM 사구,TEAM 홈런,TEAM 타점,TEAM 도루,TEAM 도루실패,TEAM 볼넷,TEAM 삼진,TEAM 병살타,TEAM 희생플라이,TEAM 평균대비수비득점기여,TEAM 수비_포지션 RAA,TEAM 전체수비 RAA,TEAM 공격WAR,TEAM 수비WAR,TEAM 연봉,wRC+
2017,KIA,나지완,LF,우투,우타,8.0,신규,A,2016,31.0,118.0,486.0,380.0,84.0,117.0,21.0,2.0,17.0,25.0,90.0,6.0,3.0,85.0,90.0,8.0,4.0,-2.28,-10.99,-13.27,4.29,-0.2,20000.0,대졸,잔류,4.0,40.0,5.0,144.0,5696.0,4999.0,803.0,1429.0,264.0,28.0,87.0,170.0,754.0,101.0,50.0,499.0,997.0,109.0,45.0,-5.49,2.85,-16.24,21.24,-0.49,815200.0,159.6
2018,KIA,나지완,DH,우투,우타,,FA 1년차,,2017,32.0,137.0,551.0,459.0,85.0,138.0,20.0,3.0,23.0,27.0,94.0,1.0,1.0,62.0,105.0,10.0,7.0,-2.71,-12.02,-14.74,3.47,-0.25,60000.0,,,,,1.0,144.0,5841.0,5142.0,906.0,1554.0,292.0,29.0,89.0,170.0,868.0,76.0,34.0,499.0,891.0,117.0,56.0,-9.65,-22.98,-20.85,31.41,-1.42,897200.0,139.7
2020,NC,노진혁,SS,우투,좌타,7.0,신규,B,2019,30.0,110.0,390.0,348.0,51.0,92.0,23.0,2.0,2.0,13.0,43.0,0.0,1.0,31.0,80.0,7.0,3.0,7.24,4.78,12.02,2.22,0.74,10000.0,대졸,,,,5.0,144.0,5631.0,4968.0,674.0,1383.0,249.0,26.0,83.0,128.0,639.0,87.0,45.0,456.0,880.0,126.0,60.0,10.59,22.04,3.58,25.29,0.91,796700.0,106.5
2021,NC,노진혁,SS,우투,좌타,7.0,신규,B,2020,31.0,132.0,484.0,427.0,70.0,117.0,22.0,3.0,5.0,20.0,82.0,0.0,4.0,49.0,106.0,8.0,0.0,5.76,9.12,14.88,3.53,0.54,14000.0,대졸,,,,1.0,144.0,5833.0,5102.0,888.0,1483.0,258.0,28.0,104.0,187.0,845.0,101.0,38.0,529.0,997.0,106.0,51.0,9.88,13.19,2.77,32.11,1.24,741800.0,115.8
2022,NC,노진혁,SS,우투,좌타,7.0,신규,B,2021,32.0,107.0,384.0,330.0,41.0,95.0,22.0,0.0,5.0,8.0,58.0,1.0,1.0,42.0,90.0,3.0,3.0,-0.99,4.77,3.78,2.95,-0.1,23000.0,대졸,,,,7.0,144.0,5532.0,4808.0,702.0,1254.0,203.0,17.0,111.0,170.0,670.0,101.0,46.0,511.0,1093.0,94.0,43.0,-14.94,3.78,-23.57,22.15,-0.97,838500.0,118.8
2023,NC,노진혁,3B,우투,좌타,7.0,신규,B,2022,33.0,115.0,451.0,396.0,50.0,111.0,24.0,0.0,2.0,15.0,75.0,2.0,0.0,45.0,105.0,11.0,5.0,-5.52,3.98,-1.54,3.43,-0.57,23000.0,대졸,이적,4.0,50.0,6.0,144.0,5585.0,4899.0,646.0,1260.0,230.0,15.0,88.0,105.0,613.0,100.0,39.0,501.0,981.0,112.0,47.0,-7.0,-6.71,-14.51,19.94,-0.72,823200.0,123.7
2024,롯데,노진혁,SS,우투,좌타,,FA 1년차,,2023,34.0,113.0,390.0,334.0,43.0,86.0,26.0,1.0,3.0,4.0,51.0,7.0,2.0,45.0,84.0,3.0,4.0,-0.44,7.43,6.99,2.36,-0.04,50000.0,,,,,7.0,144.0,5576.0,4871.0,653.0,1289.0,231.0,19.0,51.0,69.0,608.0,101.0,42.0,522.0,1000.0,110.0,57.0,-32.72,-29.39,-42.0,17.11,-3.34,536460.0,103.2
2016,NC,모창민,3B,우투,우타,8.0,신규,A,2015,30.0,103.0,239.0,214.0,23.0,62.0,14.0,0.0,0.0,6.0,35.0,5.0,0.0,18.0,52.0,5.0,3.0,-3.5,-0.73,-4.23,0.73,-0.32,14000.0,대졸,,,,3.0,144.0,5727.0,4967.0,844.0,1437.0,283.0,28.0,106.0,161.0,802.0,204.0,60.0,536.0,1023.0,105.0,53.0,27.49,15.93,18.08,28.15,2.27,440600.0,99.5
2017,NC,모창민,3B,우투,우타,8.0,신규,A,2016,31.0,63.0,147.0,133.0,16.0,44.0,8.0,0.0,0.0,5.0,20.0,3.0,2.0,9.0,24.0,7.0,3.0,6.04,-0.73,5.31,0.72,0.54,12500.0,대졸,,,,2.0,144.0,5833.0,5007.0,857.0,1457.0,249.0,19.0,93.0,169.0,808.0,99.0,41.0,609.0,1023.0,133.0,52.0,6.4,-8.9,-3.55,24.47,0.57,723500.0,120.7
2018,NC,모창민,3B,우투,우타,8.0,신규,A,2017,32.0,136.0,527.0,474.0,64.0,148.0,25.0,3.0,3.0,17.0,90.0,9.0,6.0,39.0,81.0,6.0,9.0,1.9,-9.16,-7.26,1.88,0.17,11700.0,대졸,,,,4.0,144.0,5790.0,5079.0,786.0,1489.0,277.0,19.0,130.0,149.0,739.0,93.0,32.0,471.0,979.0,119.0,48.0,16.48,35.2,6.55,24.87,1.52,713700.0,112.5
2019,NC,모창민,3B,우투,우타,8.0,신규,A,2018,33.0,81.0,314.0,287.0,38.0,80.0,10.0,1.0,1.0,17.0,62.0,2.0,3.0,21.0,51.0,10.0,4.0,-1.49,-2.72,-4.21,0.73,-0.13,18500.0,대졸,잔류,3.0,20.0,10.0,144.0,5488.0,4895.0,660.0,1280.0,233.0,18.0,88.0,143.0,629.0,82.0,35.0,427.0,1081.0,115.0,43.0,2.07,19.6,-8.48,5.69,0.25,544500.0,99.6
2020,NC,모창민,1B,우투,우타,,FA 1년차,,2019,34.0,101.0,386.0,341.0,49.0,104.0,21.0,2.0,2.0,10.0,55.0,3.0,2.0,31.0,62.0,8.0,11.0,-1.72,-7.96,-9.68,1.5,-0.18,30000.0,,,,,5.0,144.0,5631.0,4968.0,674.0,1383.0,249.0,26.0,83.0,128.0,639.0,87.0,45.0,456.0,880.0,126.0,60.0,10.59,22.04,3.58,25.29,0.91,796700.0,120.7
2015,롯데,문규현,SS,우투,우타,9.0,신규,A,2014,31.0,77.0,275.0,235.0,33.0,66.0,16.0,0.0,0.0,2.0,27.0,5.0,2.0,26.0,30.0,7.0,2.0,3.26,5.49,8.75,0.78,0.29,6800.0,고졸,,,,7.0,128.0,5194.0,4487.0,716.0,1288.0,252.0,26.0,70.0,121.0,685.0,63.0,41.0,534.0,964.0,95.0,41.0,1.14,15.71,-6.57,16.88,0.1,510600.0,77.1
2016,롯데,문규현,SS,우투,우타,9.0,신규,A,2015,32.0,105.0,298.0,265.0,24.0,65.0,12.0,1.0,1.0,2.0,25.0,4.0,2.0,14.0,39.0,6.0,3.0,2.35,5.94,8.29,-0.43,0.22,8500.0,고졸,,,,8.0,144.0,5680.0,4972.0,765.0,1393.0,254.0,19.0,68.0,177.0,727.0,104.0,50.0,532.0,1186.0,136.0,28.0,22.19,15.39,13.9,18.66,2.33,624400.0,42.6
2017,롯데,문규현,SS,우투,우타,9.0,신규,A,2016,33.0,120.0,368.0,316.0,38.0,86.0,10.0,0.0,1.0,4.0,40.0,2.0,3.0,29.0,39.0,10.0,2.0,11.79,7.1,18.89,0.48,1.05,9000.0,고졸,,,,8.0,144.0,5784.0,5001.0,777.0,1439.0,252.0,20.0,83.0,127.0,732.0,145.0,64.0,596.0,1061.0,120.0,41.0,-7.33,6.21,-16.83,17.82,-0.54,730200.0,66.6
2018,롯데,문규현,SS,우투,우타,9.0,신규,A,2017,34.0,110.0,337.0,304.0,38.0,82.0,15.0,2.0,2.0,6.0,42.0,2.0,1.0,10.0,42.0,10.0,3.0,-0.47,5.26,4.79,0.21,-0.04,12000.0,고졸,잔류,3.0,10.0,3.0,144.0,5671.0,4994.0,743.0,1425.0,250.0,17.0,112.0,151.0,697.0,92.0,44.0,457.0,1018.0,146.0,32.0,16.21,8.53,6.5,17.96,1.67,858600.0,62.7
2019,롯데,문규현,SS,우투,우타,,FA 1년차,,2018,35.0,122.0,349.0,316.0,42.0,87.0,19.0,1.0,0.0,6.0,41.0,3.0,1.0,18.0,45.0,9.0,6.0,-1.88,6.66,4.78,0.43,-0.17,18000.0,,,,,7.0,144.0,5764.0,5130.0,821.0,1484.0,289.0,17.0,81.0,203.0,792.0,68.0,32.0,471.0,1157.0,124.0,37.0,0.51,6.93,-12.15,21.63,0.05,836900.0,68.5
2015,두산,민병헌,RF,우투,우타,9.0,신규,A,2014,27.0,124.0,527.0,470.0,85.0,162.0,31.0,3.0,6.0,12.0,79.0,16.0,8.0,37.0,63.0,11.0,6.0,1.39,-5.17,-3.78,3.09,0.12,14500.0,고졸,,,,6.0,128.0,5083.0,4427.0,687.0,1299.0,235.0,26.0,64.0,108.0,646.0,111.0,44.0,468.0,731.0,103.0,43.0,-11.11,-15.9,-19.65,19.88,-0.98,336800.0,131.0
2016,두산,민병헌,RF,우투,우타,9.0,신규,A,2015,28.0,129.0,561.0,491.0,80.0,149.0,20.0,2.0,8.0,12.0,75.0,7.0,3.0,50.0,74.0,15.0,6.0,1.29,-5.09,-3.79,2.48,0.12,28000.0,고졸,,,,1.0,144.0,5759.0,4957.0,807.0,1436.0,254.0,22.0,99.0,140.0,770.0,111.0,47.0,567.0,820.0,139.0,60.0,4.5,-15.85,-3.26,29.31,0.42,588000.0,113.2
2017,두산,민병헌,RF,우투,우타,9.0,신규,A,2016,29.0,134.0,579.0,511.0,98.0,166.0,31.0,4.0,15.0,16.0,87.0,9.0,2.0,48.0,91.0,18.0,4.0,-3.47,-3.29,-6.75,3.62,-0.31,35000.0,고졸,,,,1.0,144.0,5841.0,5044.0,935.0,1504.0,284.0,25.0,86.0,183.0,877.0,85.0,45.0,600.0,884.0,121.0,68.0,2.92,4.73,-5.63,33.4,0.45,567400.0,133.2
2018,두산,민병헌,RF,우투,우타,9.0,신규,A,2017,30.0,123.0,520.0,447.0,73.0,136.0,21.0,0.0,19.0,14.0,71.0,3.0,4.0,47.0,74.0,14.0,6.0,-5.36,-4.47,-9.83,2.53,-0.49,55000.0,고졸,이적,4.0,80.0,2.0,144.0,5833.0,5102.0,849.0,1499.0,270.0,20.0,95.0,178.0,812.0,69.0,33.0,541.0,960.0,120.0,47.0,-0.18,-17.54,-7.54,32.2,-0.14,473500.0,124.7
2019,롯데,민병헌,CF,우투,우타,,FA 1년차,,2018,31.0,118.0,494.0,443.0,74.0,141.0,21.0,0.0,8.0,17.0,66.0,8.0,3.0,35.0,68.0,10.0,6.0,5.73,-0.98,4.75,2.74,0.51,100000.0,,,,,7.0,144.0,5764.0,5130.0,821.0,1484.0,289.0,17.0,81.0,203.0,792.0,68.0,32.0,471.0,1157.0,124.0,37.0,0.51,6.93,-12.15,21.63,0.05,836900.0,109.3
2019,두산,박건우,CF,우투,우타,9.0,신규,A,2018,28.0,125.0,529.0,488.0,79.0,159.0,24.0,6.0,10.0,12.0,84.0,7.0,3.0,28.0,65.0,14.0,2.0,0.49,-1.16,-0.67,2.79,0.04,37000.0,고졸,,,,2.0,144.0,5870.0,5176.0,944.0,1601.0,284.0,30.0,92.0,191.0,898.0,96.0,23.0,496.0,1016.0,112.0,63.0,31.25,30.09,23.63,37.38,2.69,690700.0,118.5
2020,두산,박건우,RF,우투,우타,9.0,신규,A,2019,29.0,127.0,537.0,458.0,83.0,146.0,27.0,5.0,7.0,10.0,64.0,12.0,3.0,60.0,57.0,23.0,11.0,3.26,-5.12,-1.86,4.7,0.34,38500.0,고졸,,,,1.0,144.0,5670.0,4913.0,736.0,1364.0,235.0,31.0,72.0,84.0,691.0,102.0,38.0,563.0,799.0,117.0,83.0,20.76,20.57,11.54,29.09,2.13,596100.0,153.1
2021,두산,박건우,RF,우투,우타,9.0,신규,A,2020,30.0,129.0,551.0,487.0,103.0,148.0,40.0,0.0,12.0,14.0,70.0,8.0,2.0,42.0,65.0,9.0,7.0,0.11,-5.22,-5.11,3.63,0.01,45000.0,고졸,,,,2.0,144.0,5776.0,5046.0,816.0,1477.0,263.0,20.0,68.0,125.0,778.0,88.0,37.0,551.0,796.0,132.0,73.0,-16.54,-25.41,-27.23,30.64,-1.48,677600.0,133.0
2022,두산,박건우,RF,우투,우타,9.0,신규,A,2021,31.0,126.0,525.0,458.0,82.0,149.0,31.0,2.0,11.0,6.0,63.0,13.0,0.0,50.0,72.0,16.0,6.0,-1.79,-3.42,-5.21,4.37,-0.18,48000.0,고졸,이적,6.0,100.0,2.0,144.0,5645.0,4900.0,738.0,1314.0,235.0,17.0,86.0,110.0,698.0,81.0,37.0,560.0,943.0,137.0,53.0,-0.82,-8.17,-11.12,24.7,-0.08,681500.0,143.3
2023,NC,박건우,CF,우투,우타,,FA 1년차,,2022,32.0,111.0,463.0,408.0,52.0,137.0,18.0,1.0,8.0,10.0,61.0,3.0,3.0,44.0,62.0,10.0,3.0,-2.36,-2.57,-4.93,4.09,-0.24,190000.0,,,,,6.0,144.0,5585.0,4899.0,646.0,1260.0,230.0,15.0,88.0,105.0,613.0,100.0,39.0,501.0,981.0,112.0,47.0,-7.0,-6.71,-14.51,19.94,-0.72,823200.0,147.3
2012,LG,박경수,2B,우투,우타,9.0,신규,A,2011,27.0,111.0,386.0,317.0,36.0,72.0,11.0,1.0,,4.0,26.0,10.0,8.0,48.0,66.0,7.0,4.0,-0.97,7.74,6.78,0.59,0.76,8000.0,고졸,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,79.3
2015,LG,박경수,2B,우투,우타,9.0,신규,A,2014,30.0,87.0,201.0,162.0,33.0,37.0,6.0,1.0,5.0,2.0,19.0,7.0,1.0,25.0,33.0,6.0,3.0,-4.09,1.91,-2.18,0.37,-0.36,9000.0,고졸,이적,4.0,18.2,4.0,128.0,5070.0,4349.0,668.0,1214.0,213.0,22.0,63.0,90.0,622.0,105.0,64.0,524.0,817.0,112.0,57.0,10.35,-11.98,0.93,13.69,0.92,502800.0,74.1
2016,KT,박경수,2B,우투,우타,4.0,FA 1년차,A,2015,31.0,137.0,537.0,440.0,75.0,125.0,30.0,1.0,13.0,22.0,73.0,6.0,4.0,74.0,115.0,8.0,4.0,4.31,5.04,9.35,4.76,0.4,23000.0,고졸,,,,10.0,144.0,5605.0,4927.0,670.0,1344.0,221.0,15.0,58.0,129.0,633.0,124.0,52.0,507.0,1112.0,118.0,37.0,-42.0,-31.47,-50.22,11.8,-3.79,395000.0,130.1
2017,KT,박경수,2B,우투,우타,4.0,재자격,A,2016,32.0,121.0,476.0,402.0,64.0,126.0,22.0,1.0,5.0,20.0,80.0,3.0,1.0,65.0,80.0,9.0,4.0,2.58,3.72,6.31,3.99,0.23,23000.0,고졸,,,,10.0,144.0,5620.0,4963.0,672.0,1369.0,214.0,11.0,48.0,116.0,639.0,96.0,46.0,499.0,933.0,130.0,45.0,-54.62,-74.39,-63.91,6.52,-4.84,492000.0,129.7
2018,KT,박경수,2B,우투,우타,4.0,재자격,A,2017,33.0,131.0,511.0,442.0,62.0,116.0,27.0,1.0,6.0,15.0,66.0,1.0,2.0,57.0,118.0,14.0,3.0,0.45,4.07,4.52,1.85,0.04,23000.0,고졸,,,,10.0,144.0,5485.0,4937.0,655.0,1360.0,274.0,17.0,66.0,119.0,625.0,86.0,51.0,374.0,1017.0,118.0,45.0,-43.57,-32.55,-49.97,8.66,-4.0,494600.0,96.5
2019,KT,박경수,2B,우투,우타,4.0,재자격,A,2018,34.0,135.0,528.0,458.0,65.0,120.0,21.0,0.0,9.0,25.0,74.0,4.0,1.0,58.0,129.0,16.0,3.0,-1.76,4.45,2.69,2.63,-0.16,23000.0,고졸,잔류,3.0,26.0,9.0,144.0,5605.0,5026.0,757.0,1382.0,264.0,13.0,46.0,206.0,721.0,80.0,57.0,464.0,1109.0,103.0,26.0,-2.41,-7.35,-12.03,16.22,-0.35,607700.0,105.8
2020,KT,박경수,2B,우투,우타,,FA 1년차,,2019,35.0,137.0,490.0,421.0,43.0,104.0,24.0,0.0,4.0,10.0,65.0,0.0,1.0,55.0,102.0,14.0,6.0,7.54,4.72,12.26,2.06,0.78,40000.0,,,,,6.0,144.0,5582.0,4965.0,650.0,1375.0,187.0,20.0,52.0,103.0,615.0,104.0,44.0,475.0,975.0,113.0,45.0,36.35,39.04,26.31,21.52,3.72,514900.0,96.9
2014,롯데,박기혁,SS,우투,우타,9.0,자격유지,A,2013,32.0,31.0,70.0,60.0,4.0,12.0,2.0,0.0,0.0,0.0,9.0,1.0,3.0,9.0,11.0,3.0,0.0,-2.83,1.43,-1.4,-0.31,-0.24,12000.0,고졸,,,,5.0,128.0,4978.0,4289.0,556.0,1118.0,208.0,18.0,71.0,61.0,522.0,133.0,58.0,503.0,862.0,92.0,41.0,17.08,1.43,18.51,15.17,2.53,311900.0,41.2
2015,롯데,박기혁,SS,우투,우타,9.0,자격유지,A,2014,33.0,22.0,63.0,51.0,8.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,11.0,1.0,0.0,-1.36,1.24,-0.12,-0.24,-0.12,7000.0,고졸,이적,4.0,11.4,7.0,128.0,5194.0,4487.0,716.0,1288.0,252.0,26.0,70.0,121.0,685.0,63.0,41.0,534.0,964.0,95.0,41.0,1.14,15.71,-6.57,16.88,0.1,510600.0,27.2
2016,KT,박기혁,SS,우투,우타,,FA 1년차,,2015,34.0,126.0,350.0,300.0,27.0,84.0,13.0,1.0,3.0,1.0,30.0,3.0,0.0,30.0,84.0,10.0,1.0,0.09,6.73,6.82,0.93,0.01,15000.0,,,,,10.0,144.0,5605.0,4927.0,670.0,1344.0,221.0,15.0,58.0,129.0,633.0,124.0,52.0,507.0,1112.0,118.0,37.0,-42.0,-31.47,-50.22,11.8,-3.79,395000.0,73.9
2020,키움,박동원,C,우투,우타,9.0,신규,A,2019,29.0,112.0,361.0,317.0,50.0,94.0,15.0,1.0,2.0,10.0,55.0,1.0,0.0,34.0,56.0,10.0,1.0,4.02,4.82,8.85,2.97,0.41,9000.0,고졸,,,,2.0,144.0,5658.0,4991.0,780.0,1405.0,251.0,38.0,69.0,112.0,741.0,110.0,33.0,514.0,943.0,122.0,48.0,-9.68,-15.38,-17.74,31.31,-1.0,403100.0,132.1
2021,키움,박동원,C,우투,우타,9.0,신규,A,2020,30.0,112.0,372.0,324.0,45.0,81.0,21.0,0.0,6.0,12.0,50.0,0.0,0.0,38.0,68.0,10.0,2.0,0.39,6.17,6.56,2.21,0.04,22500.0,고졸,,,,5.0,144.0,5721.0,4945.0,759.0,1332.0,254.0,25.0,73.0,127.0,713.0,113.0,27.0,608.0,1030.0,107.0,52.0,10.87,24.31,4.63,23.86,1.02,651300.0,103.9
2022,키움,박동원,C,우투,우타,9.0,신규,A,2021,31.0,131.0,481.0,413.0,61.0,103.0,21.0,0.0,7.0,22.0,83.0,2.0,0.0,53.0,114.0,12.0,3.0,2.58,1.7,4.29,2.89,0.26,23000.0,고졸,,,,5.0,144.0,5653.0,4874.0,722.0,1262.0,244.0,28.0,93.0,91.0,671.0,97.0,26.0,595.0,1053.0,93.0,56.0,20.06,18.06,13.53,20.78,1.77,615900.0,119.5
2023,KIA,박동원,C,우투,우타,9.0,신규,A,2022,32.0,123.0,447.0,385.0,52.0,93.0,21.0,0.0,9.0,18.0,57.0,1.0,0.0,45.0,95.0,9.0,1.0,4.43,0.65,5.08,3.05,0.05,31000.0,고졸,이적,4.0,65.0,5.0,144.0,5703.0,5000.0,720.0,1361.0,250.0,19.0,63.0,113.0,677.0,103.0,34.0,542.0,983.0,111.0,36.0,5.59,3.87,-1.59,28.69,0.19,567000.0,118.5
2024,LG,박동원,C,우투,우타,,FA 1년차,,2023,33.0,130.0,481.0,409.0,54.0,102.0,17.0,1.0,7.0,20.0,75.0,0.0,1.0,49.0,90.0,7.0,8.0,1.07,10.85,11.91,4.02,0.11,30000.0,,,,,1.0,144.0,5687.0,4881.0,767.0,1364.0,227.0,27.0,73.0,93.0,714.0,166.0,101.0,583.0,804.0,89.0,55.0,6.8,34.27,-1.96,31.56,0.69,556000.0,117.7
2020,NC,박민우,2B,우투,좌타,9.0,신규,A,2019,26.0,125.0,526.0,468.0,89.0,161.0,23.0,8.0,9.0,1.0,45.0,18.0,7.0,41.0,40.0,10.0,6.0,2.95,4.35,7.3,4.79,0.3,38000.0,고졸,,,,5.0,144.0,5631.0,4968.0,674.0,1383.0,249.0,26.0,83.0,128.0,639.0,87.0,45.0,456.0,880.0,126.0,60.0,10.59,22.04,3.58,25.29,0.91,796700.0,132.9
2021,NC,박민우,2B,우투,좌타,9.0,신규,A,2020,27.0,126.0,530.0,467.0,82.0,161.0,27.0,5.0,15.0,8.0,63.0,13.0,6.0,36.0,48.0,12.0,10.0,8.45,5.07,13.52,4.48,0.79,52000.0,고졸,,,,1.0,144.0,5833.0,5102.0,888.0,1483.0,258.0,28.0,104.0,187.0,845.0,101.0,38.0,529.0,997.0,106.0,51.0,9.88,13.19,2.77,32.11,1.24,741800.0,131.0
2022,NC,박민우,2B,우투,좌타,9.0,신규,A,2021,28.0,50.0,215.0,180.0,30.0,47.0,5.0,3.0,7.0,1.0,18.0,12.0,3.0,22.0,23.0,4.0,2.0,4.81,2.14,6.95,1.08,0.48,63000.0,고졸,,,,7.0,144.0,5532.0,4808.0,702.0,1254.0,203.0,17.0,111.0,170.0,670.0,101.0,46.0,511.0,1093.0,94.0,43.0,-14.94,3.78,-23.57,22.15,-0.97,838500.0,94.8
2023,NC,박민우,2B,우투,좌타,9.0,신규,A,2022,29.0,104.0,451.0,390.0,61.0,104.0,22.0,1.0,10.0,4.0,38.0,21.0,4.0,42.0,55.0,7.0,3.0,1.32,4.3,5.62,2.6,0.14,41000.0,고졸,잔류,8.0,140.0,6.0,144.0,5585.0,4899.0,646.0,1260.0,230.0,15.0,88.0,105.0,613.0,100.0,39.0,501.0,981.0,112.0,47.0,-7.0,-6.71,-14.51,19.94,-0.72,823200.0,101.2
2024,NC,박민우,2B,우투,좌타,,FA 1년차,,2023,30.0,124.0,509.0,452.0,76.0,143.0,20.0,7.0,9.0,2.0,46.0,26.0,7.0,40.0,57.0,13.0,3.0,3.53,3.94,7.47,4.03,0.36,110000.0,,,,,4.0,144.0,5606.0,4895.0,679.0,1321.0,223.0,28.0,100.0,98.0,642.0,111.0,46.0,493.0,1005.0,122.0,55.0,14.57,2.81,5.89,23.31,1.49,568600.0,123.4
2019,넥센,박병호,1B,우투,우타,4.0,신규,C,2018,32.0,113.0,488.0,400.0,88.0,138.0,20.0,0.0,17.0,43.0,112.0,0.0,1.0,68.0,114.0,9.0,3.0,2.06,-9.82,-7.77,6.82,0.18,150000.0,35세 이상 해외복귀,,,,4.0,144.0,5780.0,5141.0,825.0,1481.0,288.0,19.0,85.0,165.0,787.0,101.0,33.0,472.0,1208.0,93.0,50.0,4.11,17.31,-7.27,21.63,0.37,555600.0,192.1
2020,키움,박병호,1B,우투,우타,4.0,신규,C,2019,33.0,122.0,532.0,432.0,92.0,121.0,22.0,0.0,13.0,33.0,98.0,0.0,1.0,78.0,117.0,7.0,9.0,5.8,-10.83,-5.03,5.73,0.6,150000.0,35세 이상 해외복귀,,,,2.0,144.0,5658.0,4991.0,780.0,1405.0,251.0,38.0,69.0,112.0,741.0,110.0,33.0,514.0,943.0,122.0,48.0,-9.68,-15.38,-17.74,31.31,-1.0,403100.0,171.8
2021,키움,박병호,1B,우투,우타,4.0,신규,C,2020,34.0,93.0,383.0,309.0,56.0,69.0,7.0,0.0,9.0,21.0,66.0,0.0,0.0,57.0,114.0,8.0,8.0,1.84,-7.61,-5.76,1.53,0.17,200000.0,35세 이상 해외복귀,,,,5.0,144.0,5721.0,4945.0,759.0,1332.0,254.0,25.0,73.0,127.0,713.0,113.0,27.0,608.0,1030.0,107.0,52.0,10.87,24.31,4.63,23.86,1.02,651300.0,113.1
2022,키움,박병호,1B,우투,우타,4.0,신규,C,2021,35.0,118.0,477.0,409.0,48.0,93.0,23.0,0.0,14.0,20.0,76.0,0.0,1.0,47.0,141.0,9.0,7.0,0.26,-9.72,-9.46,0.89,0.03,150000.0,35세 이상 해외복귀,이적,3.0,52.5,5.0,144.0,5653.0,4874.0,722.0,1262.0,244.0,28.0,93.0,91.0,671.0,97.0,26.0,595.0,1053.0,93.0,56.0,20.06,18.06,13.53,20.78,1.77,615900.0,104.7
2023,KT,박병호,1B,우투,우타,,FA 1년차,,2022,36.0,124.0,487.0,429.0,72.0,118.0,17.0,0.0,12.0,35.0,98.0,5.0,3.0,40.0,131.0,7.0,6.0,6.63,-9.72,-3.09,3.83,0.68,60000.0,,,,,4.0,144.0,5547.0,4864.0,631.0,1237.0,192.0,19.0,49.0,119.0,588.0,89.0,34.0,519.0,1183.0,105.0,44.0,13.16,14.83,4.34,17.82,1.35,749000.0,145.8
2013,삼성,박석민,3B,우투,우타,9.0,신규,A,2012,27.0,127.0,549.0,443.0,79.0,138.0,19.0,3.0,27.0,23.0,91.0,2.0,3.0,72.0,83.0,8.0,5.0,-4.69,-1.17,-5.86,6.9,-0.52,,고졸,,,,1.0,133.0,5161.0,4436.0,628.0,1205.0,200.0,26.0,86.0,89.0,585.0,125.0,48.0,500.0,813.0,91.0,47.0,-30.05,-4.67,-42.08,32.31,-3.87,393200.0,171.3
2014,삼성,박석민,3B,우투,우타,9.0,신규,A,2013,28.0,117.0,474.0,396.0,61.0,126.0,24.0,0.0,21.0,18.0,76.0,4.0,2.0,54.0,73.0,13.0,2.0,6.91,-0.78,6.13,5.61,0.53,,고졸,,,,1.0,128.0,5042.0,4370.0,669.0,1235.0,212.0,17.0,93.0,113.0,624.0,95.0,41.0,453.0,818.0,98.0,41.0,17.85,-1.74,16.12,28.45,2.03,431300.0,162.6
2015,삼성,박석민,3B,우투,우타,9.0,신규,A,2014,29.0,110.0,425.0,356.0,77.0,112.0,21.0,0.0,12.0,27.0,72.0,0.0,1.0,54.0,62.0,12.0,3.0,0.79,-0.1,0.69,4.15,0.07,37000.0,고졸,,,,1.0,128.0,5152.0,4464.0,812.0,1345.0,238.0,23.0,62.0,161.0,763.0,161.0,46.0,507.0,743.0,88.0,43.0,12.63,-4.5,2.92,25.53,1.11,637700.0,153.5
2016,삼성,박석민,3B,우투,우타,9.0,신규,A,2015,30.0,135.0,559.0,448.0,90.0,144.0,25.0,0.0,19.0,26.0,116.0,3.0,0.0,83.0,97.0,13.0,8.0,6.95,0.0,6.95,5.84,0.64,47000.0,고졸,이적,4.0,96.0,2.0,144.0,5803.0,5019.0,897.0,1515.0,259.0,25.0,70.0,176.0,850.0,157.0,52.0,581.0,930.0,109.0,57.0,0.96,5.77,-8.74,32.86,0.08,693600.0,159.0
2017,NC,박석민,3B,우투,우타,4.0,FA 1년차,A,2016,31.0,126.0,506.0,427.0,77.0,131.0,20.0,0.0,16.0,32.0,104.0,2.0,0.0,56.0,95.0,18.0,4.0,-10.25,-1.06,-11.31,3.98,-0.91,75000.0,고졸,,,,2.0,144.0,5833.0,5007.0,857.0,1457.0,249.0,19.0,93.0,169.0,808.0,99.0,41.0,609.0,1023.0,133.0,52.0,6.4,-8.9,-3.55,24.47,0.57,723500.0,143.8
