선수명,FA_직전년도,FA년도,구단명,포지션,투,타,인정년수,구분,FA등급,플레이년도,Age,G,PA,AB,R,H,2B,3B,HP,HR,RBI,SB,CS,BB,SO,GDP,SF,수비_필딩 RAA,수비_포지션 RAA,전체수비 RAA,oWAR,dWAR,연봉,비고,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM PA,TEAM AB,TEAM R,TEAM H,TEAM 2B,TEAM 3B,TEAM HP,TEAM HR,TEAM RBI,TEAM SB,TEAM CS,TEAM BB,TEAM SO,TEAM GDP,TEAM SF,TEAM 수비_필딩 RAA,TEAM 수비_포지션 RAA,TEAM 전체수비 RAA,TEAM oWAR,TEAM dWAR,TEAM 연봉
김민식,2024,2024,SSG,C,우투,좌타,7.0,신규,C,2023,34.0,122.0,318.0,266.0,28.0,58.0,9.0,1.0,2.0,5.0,34.0,0.0,0.0,31.0,57.0,6.0,2.0,4.81,7.44,12.25,0.84,0.49,15000.0,대졸,잔류,2.0,5.0,3.0,144.0,5630.0,4923.0,658.0,1279.0,229.0,16.0,78.0,125.0,611.0,96.0,28.0,507.0,943.0,89.0,45.0,-11.75,-17.27,-21.21,21.42,-1.24,815400.0
김상수,2019,2019,삼성,SS,우투,우타,9.0,신규,A,2018,28.0,122.0,499.0,453.0,63.0,119.0,13.0,1.0,8.0,10.0,50.0,12.0,9.0,27.0,91.0,11.0,3.0,-3.04,9.76,6.72,0.31,-0.27,24000.0,고졸,잔류,3.0,18.0,6.0,144.0,5766.0,5109.0,776.0,1471.0,241.0,29.0,87.0,146.0,732.0,116.0,52.0,468.0,1034.0,115.0,45.0,-21.0,1.16,-29.04,15.23,-1.88,598700.0
김상수,2023,2023,삼성,SS,우투,우타,4.0,재자격,B,2022,32.0,72.0,260.0,235.0,30.0,59.0,11.0,0.0,1.0,2.0,29.0,2.0,1.0,18.0,44.0,6.0,2.0,-6.01,3.98,-2.03,0.38,-0.62,25000.0,고졸,이적,4.0,29.0,7.0,144.0,5647.0,5023.0,663.0,1358.0,241.0,19.0,54.0,103.0,627.0,91.0,27.0,446.0,1029.0,119.0,41.0,-21.46,0.42,-28.41,18.17,-2.21,842300.0
김상현,2016,2016,KT,LF,우투,우타,9.0,신규,A,2015,35.0,134.0,539.0,475.0,71.0,133.0,20.0,0.0,8.0,27.0,88.0,4.0,5.0,50.0,115.0,21.0,6.0,-8.93,-9.22,-18.16,1.43,-0.83,16000.0,고졸,잔류,2.0,10.0,10.0,144.0,5605.0,4927.0,670.0,1344.0,221.0,15.0,58.0,129.0,633.0,124.0,52.0,507.0,1112.0,118.0,37.0,-42.0,-31.47,-50.22,11.8,-3.79,395000.0
김선빈,2020,2020,KIA,SS,우투,우타,9.0,신규,A,2019,30.0,121.0,447.0,394.0,55.0,115.0,22.0,0.0,1.0,3.0,40.0,5.0,4.0,43.0,26.0,7.0,4.0,-0.71,8.45,7.74,2.84,-0.07,30000.0,고졸,잔류,4.0,24.0,7.0,144.0,5505.0,4874.0,605.0,1286.0,248.0,19.0,58.0,76.0,567.0,87.0,42.0,497.0,919.0,108.0,45.0,-34.68,-26.69,-42.45,17.58,-3.89,728800.0
김선빈,2024,2024,KIA,2B,우투,우타,4.0,재자격,B,2023,34.0,119.0,473.0,419.0,41.0,134.0,16.0,0.0,5.0,0.0,48.0,3.0,1.0,38.0,26.0,10.0,3.0,-2.1,4.65,2.55,2.83,-0.21,45000.0,2번째 FA,잔류,4.0,28.0,6.0,144.0,5607.0,4954.0,726.0,1365.0,224.0,21.0,46.0,101.0,673.0,122.0,34.0,500.0,957.0,115.0,44.0,10.65,18.24,1.88,24.07,0.89,494300.0
김성현,2021,2021,SK,SS,우투,우타,9.0,신규,A,2020,33.0,133.0,392.0,343.0,34.0,93.0,9.0,1.0,5.0,2.0,25.0,1.0,1.0,30.0,27.0,10.0,3.0,3.51,6.44,9.95,0.88,0.33,21000.0,고졸,잔류,3.0,11.0,9.0,144.0,5502.0,4839.0,634.0,1212.0,177.0,17.0,69.0,143.0,595.0,81.0,45.0,511.0,981.0,112.0,34.0,-0.01,3.87,-10.2,8.09,-0.18,770800.0
김용의,2021,2021,LG,1B,우투,좌타,8.0,신규,C,2020,35.0,101.0,75.0,70.0,28.0,19.0,1.0,1.0,0.0,1.0,12.0,7.0,3.0,3.0,15.0,2.0,1.0,2.97,-1.16,1.81,-0.01,0.28,10500.0,대졸,잔류,1.0,1.0,4.0,144.0,5681.0,4999.0,802.0,1384.0,253.0,29.0,75.0,149.0,760.0,83.0,39.0,509.0,969.0,115.0,49.0,3.39,0.85,-5.11,26.1,0.33,703800.0
김원섭,2013,2013,KIA,LF,우투,좌타,8.0,신규,A,2012,34.0,120.0,472.0,386.0,60.0,117.0,21.0,4.0,2.0,3.0,61.0,8.0,4.0,69.0,54.0,12.0,3.0,0.69,-5.82,-5.13,4.97,-0.91,13000.0,대졸,잔류,3.0,14.0,5.0,133.0,5131.0,4348.0,553.0,1112.0,197.0,19.0,60.0,54.0,518.0,132.0,51.0,544.0,790.0,100.0,47.0,10.53,-0.12,3.09,24.75,0.09,263000.0
김재호,2017,2017,두산,SS,우투,우타,9.0,신규,A,2016,31.0,137.0,496.0,416.0,69.0,129.0,27.0,3.0,5.0,7.0,78.0,8.0,4.0,57.0,52.0,8.0,13.0,8.68,9.86,18.54,3.53,0.77,41000.0,고졸,잔류,4.0,50.0,1.0,144.0,5841.0,5044.0,935.0,1504.0,284.0,25.0,86.0,183.0,877.0,85.0,45.0,600.0,884.0,121.0,68.0,2.92,4.73,-5.63,33.4,0.45,567400.0
