FA년도,구단명,선수명,포지션,투,타,인정년수,구분,FA등급,플레이년도,Age,G,PA,AB,R,H,2B,3B,HP,HR,RBI,SB,CS,BB,SO,GDP,SF,수비_필딩 RAA,수비_포지션 RAA,전체수비 RAA,oWAR,dWAR,연봉,비고,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM PA,TEAM AB,TEAM R,TEAM H,TEAM 2B,TEAM 3B,TEAM HP,TEAM HR,TEAM RBI,TEAM SB,TEAM CS,TEAM BB,TEAM SO,TEAM GDP,TEAM SF,TEAM 수비_필딩 RAA,TEAM 수비_포지션 RAA,TEAM 전체수비 RAA,TEAM oWAR,TEAM dWAR,TEAM 연봉
2013,두산,고영민,2B,우투,우타,9,신규,A,2012,28,58,173,151,33,40,10,1,3,3,26,7,1,13,28,5,0,0.76,1.22,1.98,1.12,0.03,8000,고졸,,,,3,133,4938,4379,524,1139,172,26,54,59,490,116,51,362,659,129,40,25.84,9.99,28.8,17.39,0.02,299900
2014,두산,고영민,2B,우투,우타,9,신규,A,2013,29,10,17,14,3,4,1,0,0,1,1,1,0,3,5,1,0,-0.81,0.15,-0.66,0.26,-0.09,7500,고졸,,,,2,128,5142,4401,699,1271,217,37,79,95,654,172,61,524,717,105,56,8.01,-0.56,7.44,36.32,1.04,345000
2015,두산,고영민,2B,우투,우타,9,신규,A,2014,30,52,108,94,18,27,2,0,0,1,7,1,1,11,18,3,2,1.26,0.89,2.15,0.16,0.11,7500,고졸,,,,6,128,5083,4427,687,1299,235,26,64,108,646,111,44,468,731,103,43,-11.11,-15.9,-19.65,19.88,-0.98,336800
2016,두산,고영민,2B,우투,우타,9,신규,A,2015,31,41,77,67,13,22,1,0,3,3,11,4,2,6,22,4,1,-1.45,-0.64,-2.09,0.41,-0.13,7500,고졸,잔류,2,5,1,144,5759,4957,807,1436,254,22,99,140,770,111,47,567,820,139,60,4.5,-15.85,-3.26,29.31,0.42,588000
2017,두산,고영민,2B,우투,우타,,FA 1년차,,2016,32,8,5,4,1,1,1,0,0,0,1,0,0,1,1,0,0,0.16,0.01,0.17,0.04,0.01,15000,,,,,1,144,5841,5044,935,1504,284,25,86,183,877,85,45,600,884,121,68,2.92,4.73,-5.63,33.4,0.45,567400
2021,SK,고종욱,LF,우투,좌타,9,자격유지,C,2020,31,92,288,272,24,77,9,3,1,3,26,1,3,14,55,3,1,-2.82,-4.25,-7.07,-0.17,-0.27,17000,고졸,,,,9,144,5502,4839,634,1212,177,17,69,143,595,81,45,511,981,112,34,-0.01,3.87,-10.2,8.09,-0.18,770800
2022,SSG,고종욱,LF,우투,좌타,9,자격유지,C,2021,32,88,199,180,25,48,5,0,0,2,18,2,3,16,30,6,2,-4,-2.33,-6.33,-0.1,-0.4,11000,고졸,,,,6,144,5736,4899,755,1278,204,13,94,185,712,100,43,636,1056,106,52,-11.21,8.62,-21.75,27.4,-0.52,962700
2023,KIA,고종욱,DH,우투,좌타,9,자격유지,C,2022,33,62,114,106,13,30,7,1,0,2,14,1,0,7,21,2,0,-1.39,-1.52,-2.92,0.44,-0.14,7000,고졸,,,,5,144,5703,5000,720,1361,250,19,63,113,677,103,34,542,983,111,36,5.59,3.87,-1.59,28.69,0.19,567000
2024,KIA,고종욱,LF,우투,좌타,9,자격유지,C,2023,34,114,286,270,35,80,17,0,0,3,39,2,2,14,58,3,2,-1.2,-3.84,-5.03,0.68,-0.12,7000,고졸,잔류,2,5,6,144,5607,4954,726,1365,224,21,46,101,673,122,34,500,957,115,44,10.65,18.24,1.88,24.07,0.89,494300
2025,KIA,고종욱,LF,우투,좌타,,FA 1년차,,2024,35,28,36,32,3,8,2,0,0,1,4,0,0,4,6,2,0,-0.93,-0.22,-1.15,0.06,-0.09,15000,,,,,1,144,5812,5124,858,1542,266,28,59,163,812,125,44,529,915,119,53,-30.14,-12.27,-38.22,30.65,-2.59,602700
2011,SK,권용관,SS,우투,우타,10,자격유지,A,2010,34,61,180,154,14,35,6,1,1,3,21,2,2,14,34,2,2,-1.24,1.09,-0.15,0.11,0.12,7800,고졸,,,,1,,,,,,,,,,,,,,,,,,,,,,
2012,SK,권용관,SS,우투,우타,10,자격유지,A,2011,35,28,68,57,8,12,3,1,1,1,10,0,1,6,23,0,0,0.47,0.68,1.15,0.03,0.22,7600,고졸,,,,2,,,,,,,,,,,,,,,,,,,,,,
2013,SK,권용관,SS,우투,우타,10,자격유지,A,2012,36,3,5,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0.03,0.09,0.11,-0.04,0.02,6600,고졸,,,,2,133,4996,4347,564,1120,197,15,58,108,523,104,75,445,864,85,28,26.13,-5.91,13.09,23.64,2.38,371100
2014,LG,권용관,SS,우투,우타,10,자격유지,A,2013,37,68,122,104,19,24,6,0,1,4,13,1,0,12,29,1,0,2.38,1.36,3.73,0.79,0.45,5500,고졸,잔류,1,1,3,128,4930,4287,615,1209,193,38,59,59,574,139,71,451,806,80,42,-14.07,2.68,-11.39,22.22,0.07,399500
2015,LG,권용관,SS,우투,우타,,FA 1년차,,2014,38,8,21,17,0,2,1,0,0,0,2,0,0,1,5,1,1,-1.25,0.42,-0.83,-0.23,-0.11,8000,,,,,4,128,5070,4349,668,1214,213,22,63,90,622,105,64,524,817,112,57,10.35,-11.98,0.93,13.69,0.92,502800
2020,NC,권희동,RF,우투,우타,7,신규,B,2019,29,116,413,348,37,89,17,0,7,6,41,3,0,50,60,10,3,0.44,-4.25,-3.81,1.35,0.05,14000,대졸,,,,5,144,5631,4968,674,1383,249,26,83,128,639,87,45,456,880,126,60,10.59,22.04,3.58,25.29,0.91,796700
2021,NC,권희동,RF,우투,우타,7,신규,B,2020,30,123,426,346,67,90,16,0,11,12,50,3,0,58,72,6,5,3.72,-4.17,-0.44,1.91,0.35,13500,대졸,,,,1,144,5833,5102,888,1483,258,28,104,187,845,101,38,529,997,106,51,9.88,13.19,2.77,32.11,1.24,741800
2022,NC,권희동,RF,우투,우타,7,신규,B,2021,31,55,171,133,25,35,3,0,5,8,26,2,0,29,24,4,3,-1.42,-1.75,-3.16,1.4,-0.14,17000,대졸,,,,7,144,5532,4808,702,1254,203,17,111,170,670,101,46,511,1093,94,43,-14.94,3.78,-23.57,22.15,-0.97,838500
2023,NC,권희동,CF,우투,우타,7,신규,B,2022,32,82,280,238,30,54,5,1,8,5,22,2,1,31,44,3,1,1.16,-2.19,-1.02,0.52,0.12,11000,대졸,잔류,1,1.25,6,144,5585,4899,646,1260,230,15,88,105,613,100,39,501,981,112,47,-7,-6.71,-14.51,19.94,-0.72,823200
2024,NC,권희동,LF,우투,우타,,FA 1년차,,2023,33,96,373,309,33,88,16,0,6,7,63,2,0,49,50,4,5,-2.61,-3.87,-6.47,2.26,-0.27,9000,,,,,4,144,5606,4895,679,1321,223,28,100,98,642,111,46,493,1005,122,55,14.57,2.81,5.89,23.31,1.49,568600
2012,SK,김강민,CF,우투,우타,9,신규,A,2011,29,80,310,281,37,79,14,1,2,8,33,9,4,20,56,3,2,1.65,-0.2,1.45,1.54,0.51,20000,고졸,,,,2,,,,,,,,,,,,,,,,,,,,,,
2013,SK,김강민,CF,우투,우타,9,신규,A,2012,30,123,474,427,49,116,20,0,4,5,31,11,10,29,72,7,3,2.77,-1.72,1.05,1.55,0.38,19000,고졸,,,,2,133,4996,4347,564,1120,197,15,58,108,523,104,75,445,864,85,28,26.13,-5.91,13.09,23.64,2.38,371100
2014,SK,김강민,CF,우투,우타,9,신규,A,2013,31,105,397,352,39,106,22,3,4,10,55,10,6,36,54,10,3,3.17,0.16,3.34,2.71,0.21,,고졸,,,,6,128,4950,4278,588,1134,189,20,86,124,558,144,63,465,918,99,37,33.96,0.05,34.01,21.13,2.79,404600
2015,SK,김강민,CF,우투,우타,9,신규,A,2014,32,113,483,430,86,130,29,3,4,16,82,32,5,43,91,12,4,-1.75,-0.12,-1.87,2.45,-0.15,30000,고졸,잔류,4,56,5,128,5082,4423,735,1285,245,22,72,115,696,139,46,447,926,92,49,8.13,9.44,0.35,15.79,0.21,489800
2017,SK,김강민,CF,우투,우타,4,FA 1년차,A,2016,34,115,422,366,59,109,21,0,12,10,47,12,5,32,89,5,2,5.2,0,5.2,1.83,0.46,60000,고졸,,,,6,144,5672,5023,753,1464,234,19,102,182,715,89,60,429,1018,104,47,6.75,30.26,1.12,19.17,0.6,712900
2018,SK,김강민,CF,우투,우타,4,재자격,A,2017,35,88,203,183,31,40,5,1,5,5,18,10,4,15,50,3,0,3.52,-0.29,3.23,-0.28,0.32,60000,고졸,,,,5,144,5564,4925,761,1337,222,15,113,234,733,53,42,427,1100,97,41,16.87,25.01,7.98,16.87,1.79,559100
2019,SK,김강민,CF,우투,우타,4,재자격,A,2018,36,80,267,235,40,70,14,0,5,14,46,10,6,22,57,1,0,-4.99,0,-4.99,1.74,-0.45,60000,고졸,,,,1,144,5682,4992,829,1403,234,13,119,233,791,108,39,483,1079,103,34,-0.75,-4.43,-10.09,22.65,0.1,560100
2020,SK,김강민,CF,우투,우타,4,재자격,A,2019,37,127,460,422,54,114,14,2,4,8,50,15,8,31,103,2,3,5.12,0,5.12,1.06,0.53,40000,고졸,잔류,2,10,3,144,5542,4919,655,1290,218,14,87,117,622,118,50,462,966,92,38,2.07,6.82,-7.97,17.87,-0.09,626100
2021,SK,김강민,CF,우투,우타,,FA 1년차,,2020,38,122,327,289,39,73,11,1,4,12,45,7,5,27,62,10,2,4.03,-0.07,3.96,0.62,0.38,35000,,,,,9,144,5502,4839,634,1212,177,17,69,143,595,81,45,511,981,112,34,-0.01,3.87,-10.2,8.09,-0.18,770800
2012,한화,김경언,CF,좌투,좌타,9,신규,A,2011,29,81,204,173,22,42,4,0,1,2,15,5,5,25,39,3,1,0.89,-0.13,0.76,0.38,0.19,,고졸,,,,6,,,,,,,,,,,,,,,,,,,,,,
2013,한화,김경언,CF,좌투,좌타,9,신규,A,2012,30,110,313,268,25,65,14,2,1,4,31,7,4,39,73,1,1,0.62,-1.13,-0.51,1.55,0.4,,고졸,,,,8,133,5057,4331,509,1077,208,12,61,71,479,107,53,538,907,102,27,-1.85,-8.82,-17.89,23.07,-2.79,339800
2014,한화,김경언,RF,좌투,좌타,9,신규,A,2013,31,70,249,214,24,59,14,1,3,1,24,2,5,26,53,5,5,0.91,-1.39,-0.48,1.02,-0.01,5000,고졸,,,,9,128,4915,4271,480,1106,212,13,80,47,448,70,49,479,933,140,30,-7.66,2.52,-5.15,14.72,-2.34,321700
2015,한화,김경언,RF,좌투,좌타,9,신규,A,2014,32,89,355,300,43,94,16,3,4,8,52,1,3,40,42,8,4,-2.73,-3.59,-6.32,1.57,-0.24,5800,고졸,잔류,3,8.5,9,128,5055,4417,619,1251,223,24,56,104,594,70,41,489,839,125,43,-26.72,-37.95,-35.82,11.41,-2.56,592300
2016,한화,김경언,RF,좌투,좌타,,FA 1년차,,2015,33,107,437,377,58,127,21,1,2,16,78,1,3,50,89,9,3,5.15,-6.48,-1.33,2.96,0.48,15000,,,,,6,144,5716,4852,717,1316,218,19,109,130,667,80,47,581,1135,112,35,16.16,31.04,8.26,15.8,1.6,784600
2016,넥센,김민성,3B,우투,우타,9,신규,A,2015,27,118,489,445,60,135,24,0,8,16,71,1,1,31,62,15,3,5.13,-0.55,4.59,1.81,0.48,20000,고졸,,,,4,144,5811,5069,904,1512,304,20,82,203,855,100,47,544,1098,112,55,14.64,28.04,4.52,30.43,1.44,529300
2017,넥센,김민성,3B,우투,우타,9,신규,A,2016,28,141,579,510,76,156,39,5,3,17,90,6,3,53,89,15,12,6.46,-1.19,5.27,2.65,0.57,22000,고졸,,,,3,144,5702,4990,813,1464,254,39,63,134,765,154,83,556,956,121,59,27.54,3.86,20.24,19.96,2.44,348700
2018,넥센,김민성,3B,우투,우타,9,신규,A,2017,29,133,530,472,59,133,26,1,7,15,78,0,1,43,93,15,8,8.4,0.13,8.53,1.51,0.77,37000,고졸,,,,7,144,5712,5098,789,1479,267,30,83,141,748,70,34,468,1066,129,42,-33.5,14.52,-42.19,20.41,-2.79,443100
2019,넥센,김민성,3B,우투,우타,9,신규,A,2018,30,128,465,413,46,117,24,0,6,10,45,1,0,40,80,6,5,5,-0.02,4.99,1.35,0.45,35000,고졸,이적,3,18,4,144,5780,5141,825,1481,288,19,85,165,787,101,33,472,1208,93,50,4.11,17.31,-7.27,21.63,0.37,555600
