FA년도,구단명,선수명,포지션,투,타,인정년수,구분,FA등급,플레이년도,Age,G,PA,AB,R,H,2B,3B,HP,HR,RBI,SB,CS,BB,SO,GDP,SF,수비_필딩 RAA,수비_포지션 RAA,전체수비 RAA,oWAR,dWAR,연봉,비고,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM PA,TEAM AB,TEAM R,TEAM H,TEAM 2B,TEAM 3B,TEAM HP,TEAM HR,TEAM RBI,TEAM SB,TEAM CS,TEAM BB,TEAM SO,TEAM GDP,TEAM SF,TEAM 수비_필딩 RAA,TEAM 수비_포지션 RAA,TEAM 전체수비 RAA,TEAM oWAR,TEAM dWAR,TEAM 연봉
2019,KIA,김선빈,SS,우투,우타,9,신규,A,2018,29,127,492,424,73,125,17,2,9,4,49,4,1,48,42,10,5,-7.98,9.7,1.72,2.41,-0.71,28000,고졸,,,,5,144,5744,5036,865,1487,258,22,99,170,823,88,37,503,905,135,50,-19.26,-26.55,-28.47,24.98,-1.94,1125900
2020,KIA,김선빈,SS,우투,우타,9,신규,A,2019,30,121,447,394,55,115,22,0,1,3,40,5,4,43,26,7,4,-0.71,8.45,7.74,2.84,-0.07,30000,고졸,잔류,4,24,7,144,5505,4874,605,1286,248,19,58,76,567,87,42,497,919,108,45,-34.68,-26.69,-42.45,17.58,-3.89,728800
2021,KIA,김선빈,2B,우투,우타,4,FA 1년차,B,2020,31,85,351,303,42,100,19,0,2,1,37,1,1,40,43,12,5,-0.61,3.45,2.84,2.48,-0.06,45000,2번째 FA,,,,6,144,5642,4937,724,1355,224,13,69,130,692,47,25,535,957,114,38,-42.81,-45.02,-51.42,18.99,-3.74,787700
2022,KIA,김선빈,2B,우투,우타,4,재자격,B,2021,32,130,564,501,55,154,32,0,1,5,67,0,0,56,39,19,5,-4.7,5.61,0.91,3.41,-0.47,45000,2번째 FA,,,,9,144,5577,4831,568,1198,183,21,73,66,546,73,31,595,921,119,37,-0.46,-15.19,-10.36,10.2,0.1,428400
2023,KIA,김선빈,2B,우투,우타,4,재자격,B,2022,33,140,587,505,51,145,23,0,6,3,61,13,2,65,47,14,3,-2.45,5.57,3.11,3.37,-0.25,45000,2번째 FA,,,,5,144,5703,5000,720,1361,250,19,63,113,677,103,34,542,983,111,36,5.59,3.87,-1.59,28.69,0.19,567000
2024,KIA,김선빈,2B,우투,우타,4,재자격,B,2023,34,119,473,419,41,134,16,0,5,0,48,3,1,38,26,10,3,-2.1,4.65,2.55,2.83,-0.21,45000,2번째 FA,잔류,4,28,6,144,5607,4954,726,1365,224,21,46,101,673,122,34,500,957,115,44,10.65,18.24,1.88,24.07,0.89,494300
2025,KIA,김선빈,2B,우투,우타,,FA 1년차,,2024,35,116,466,423,48,139,23,0,5,9,57,5,1,30,39,13,0,-5.75,4.62,-1.13,2.98,-0.6,60000,,,,,1,144,5812,5124,858,1542,266,28,59,163,812,125,44,529,915,119,53,-30.14,-12.27,-38.22,30.65,-2.59,602700
2018,SK,김성현,2B,우투,우타,9,신규,A,2017,30,130,429,380,45,103,14,0,4,4,29,2,1,34,28,8,3,9.17,4.29,13.46,0.49,0.84,28000,고졸,,,,5,144,5564,4925,761,1337,222,15,113,234,733,53,42,427,1100,97,41,16.87,25.01,7.98,16.87,1.79,559100
2019,SK,김성현,2B,우투,우타,9,신규,A,2018,31,135,462,415,51,115,19,1,9,4,55,6,2,29,42,19,3,-1.21,6.24,5.03,0.73,-0.11,25000,고졸,,,,1,144,5682,4992,829,1403,234,13,119,233,791,108,39,483,1079,103,34,-0.75,-4.43,-10.09,22.65,0.1,560100
2020,SK,김성현,SS,우투,우타,9,신규,A,2019,32,144,472,426,45,105,16,2,2,1,34,6,2,33,43,15,3,-5.87,9.44,3.57,0.61,-0.6,25000,고졸,,,,3,144,5542,4919,655,1290,218,14,87,117,622,118,50,462,966,92,38,2.07,6.82,-7.97,17.87,-0.09,626100
2021,SK,김성현,SS,우투,우타,9,신규,A,2020,33,133,392,343,34,93,9,1,5,2,25,1,1,30,27,10,3,3.51,6.44,9.95,0.88,0.33,21000,고졸,잔류,3,11,9,144,5502,4839,634,1212,177,17,69,143,595,81,45,511,981,112,34,-0.01,3.87,-10.2,8.09,-0.18,770800
2022,SSG,김성현,SS,우투,우타,,FA 1년차,,2021,34,110,274,237,27,67,15,0,0,6,37,5,2,29,29,8,4,0.44,3.55,3.99,1.59,0.04,25000,,,,,6,144,5736,4899,755,1278,204,13,94,185,712,100,43,636,1056,106,52,-11.21,8.62,-21.75,27.4,-0.52,962700
2018,LG,김용의,CF,우투,좌타,8,신규,C,2017,32,60,189,164,17,44,6,2,0,0,8,9,4,19,49,2,0,-0.84,-0.01,-0.85,0.04,-0.08,12000,대졸,,,,6,144,5614,4944,699,1390,216,20,101,110,663,77,56,438,1021,123,55,6.68,12.37,-3.17,13.68,0.61,666400
2019,LG,김용의,1B,우투,좌타,8,신규,C,2018,33,114,185,159,28,37,2,0,0,0,13,10,1,16,32,1,3,1.49,-3.42,-1.93,-0.88,0.13,9000,대졸,,,,8,144,5665,5070,788,1487,299,12,75,148,740,71,38,418,1001,125,51,-27.85,-22.4,-35.85,21.66,-2.31,851800
2020,LG,김용의,1B,우투,좌타,8,신규,C,2019,34,114,210,179,35,39,5,3,2,0,17,8,3,24,38,1,1,2.89,-3.72,-0.83,-0.14,0.3,8500,대졸,,,,4,144,5536,4928,641,1316,233,15,77,94,604,108,47,434,962,117,48,11.94,14.3,3.53,20.38,1.23,745100
2021,LG,김용의,1B,우투,좌타,8,신규,C,2020,35,101,75,70,28,19,1,1,0,1,12,7,3,3,15,2,1,2.97,-1.16,1.81,-0.01,0.28,10500,대졸,잔류,1,1,4,144,5681,4999,802,1384,253,29,75,149,760,83,39,509,969,115,49,3.39,0.85,-5.11,26.1,0.33,703800
2022,LG,김용의,1B,우투,좌타,,FA 1년차,,2021,36,102,41,27,19,4,2,0,0,0,2,6,0,9,5,1,1,2.32,-0.73,1.59,0.12,0.23,10000,,,,,4,144,5533,4750,654,1188,210,11,94,110,621,92,34,592,926,102,45,15.39,5.93,6.34,20.58,1.28,610000
2010,KIA,김원섭,LF,우투,좌타,8,신규,A,2009,31,101,426,356,74,107,14,9,6,8,43,20,10,56,55,8,3,2.27,-0.29,1.98,3.08,0.35,9000,대졸,,,,1,,,,,,,,,,,,,,,,,,,,,,
2011,KIA,김원섭,LF,우투,좌타,8,신규,A,2010,32,111,428,353,43,84,16,3,2,5,28,15,6,56,63,5,1,3.21,-5.19,-1.98,1.4,0.25,17000,대졸,,,,5,,,,,,,,,,,,,,,,,,,,,,
2012,KIA,김원섭,LF,우투,좌타,8,신규,A,2011,33,87,316,269,36,73,18,2,0,2,30,1,3,32,28,4,5,1.27,-2.95,-1.68,1.47,0.19,14000,대졸,,,,4,,,,,,,,,,,,,,,,,,,,,,
2013,KIA,김원섭,LF,우투,좌타,8,신규,A,2012,34,120,472,386,60,117,21,4,2,3,61,8,4,69,54,12,3,0.69,-5.82,-5.13,4.97,-0.91,13000,대졸,잔류,3,14,5,133,5131,4348,553,1112,197,19,60,54,518,132,51,544,790,100,47,10.53,-0.12,3.09,24.75,0.09,263000
2014,KIA,김원섭,RF,우투,좌타,,FA 1년차,,2013,35,42,119,96,12,18,8,0,0,1,12,1,0,23,20,0,0,5.91,-0.75,5.17,0.21,0.64,25000,,,,,8,128,5051,4318,587,1125,195,13,75,88,545,141,47,537,864,110,42,-87.18,-1.3,-88.48,20.98,-8.2,343600
2014,두산,김재호,SS,우투,우타,9,신규,A,2013,28,91,286,248,42,78,10,3,0,1,32,9,6,26,24,7,2,11.33,4.96,16.29,1.93,1.54,7000,고졸,,,,2,128,5142,4401,699,1271,217,37,79,95,654,172,61,524,717,105,56,8.01,-0.56,7.44,36.32,1.04,345000
2015,두산,김재호,SS,우투,우타,9,신규,A,2014,29,122,421,341,50,86,14,1,2,3,54,2,8,54,59,14,11,2.21,8.4,10.61,0.44,0.2,11700,고졸,,,,6,128,5083,4427,687,1299,235,26,64,108,646,111,44,468,731,103,43,-11.11,-15.9,-19.65,19.88,-0.98,336800
2016,두산,김재호,SS,우투,우타,9,신규,A,2015,30,133,488,410,63,126,24,3,3,3,50,7,2,54,42,18,7,3.24,9.76,13,3.12,0.3,16700,고졸,,,,1,144,5759,4957,807,1436,254,22,99,140,770,111,47,567,820,139,60,4.5,-15.85,-3.26,29.31,0.42,588000
2017,두산,김재호,SS,우투,우타,9,신규,A,2016,31,137,496,416,69,129,27,3,5,7,78,8,4,57,52,8,13,8.68,9.86,18.54,3.53,0.77,41000,고졸,잔류,4,50,1,144,5841,5044,935,1504,284,25,86,183,877,85,45,600,884,121,68,2.92,4.73,-5.63,33.4,0.45,567400
2018,두산,김재호,SS,우투,우타,4,FA 1년차,B,2017,32,91,331,283,34,83,18,1,3,7,50,7,1,36,52,6,7,4.63,6.58,11.21,2.45,0.43,65000,고졸,,,,2,144,5833,5102,849,1499,270,20,95,178,812,69,33,541,960,120,47,-0.18,-17.54,-7.54,32.2,-0.14,473500
2019,두산,김재호,SS,우투,우타,4,재자격,B,2018,33,131,467,402,78,125,20,0,4,16,75,6,2,52,77,12,6,1.41,9.2,10.61,3.94,0.13,65000,고졸,,,,2,144,5870,5176,944,1601,284,30,92,191,898,96,23,496,1016,112,63,31.25,30.09,23.63,37.38,2.69,690700
2020,두산,김재호,SS,우투,우타,4,재자격,B,2019,34,130,470,377,51,101,22,0,7,4,48,3,3,67,58,10,11,4.01,9.32,13.33,3.39,0.41,65000,고졸,,,,1,144,5670,4913,736,1364,235,31,72,84,691,102,38,563,799,117,83,20.76,20.57,11.54,29.09,2.13,596100
2021,두산,김재호,SS,우투,우타,4,재자격,B,2020,35,120,458,402,48,116,15,1,4,2,39,6,2,45,45,17,5,-1.59,9.12,7.53,2.07,-0.15,65000,고졸,잔류,3,25,2,144,5776,5046,816,1477,263,20,68,125,778,88,37,551,796,132,73,-16.54,-25.41,-27.23,30.64,-1.48,677600
2022,두산,김재호,SS,우투,우타,,FA 1년차,,2021,36,89,251,211,23,44,8,0,2,1,24,1,1,29,34,7,3,1.04,4.84,5.88,0.17,0.1,60000,,,,,2,144,5645,4900,738,1314,235,17,86,110,698,81,37,560,943,137,53,-0.82,-8.17,-11.12,24.7,-0.08,681500
2019,두산,김재환,LF,우투,좌타,9,신규,A,2018,30,139,602,527,104,176,36,1,9,44,133,2,0,59,134,6,7,-6.63,-7.26,-13.89,7.09,-0.59,47000,고졸,,,,2,144,5870,5176,944,1601,284,30,92,191,898,96,23,496,1016,112,63,31.25,30.09,23.63,37.38,2.69,690700
2020,두산,김재환,LF,우투,좌타,9,신규,A,2019,31,136,574,495,76,140,20,5,5,15,91,3,1,63,113,7,11,-2.86,-6.15,-9.01,3.34,-0.29,73000,고졸,,,,1,144,5670,4913,736,1364,235,31,72,84,691,102,38,563,799,117,83,20.76,20.57,11.54,29.09,2.13,596100
2021,두산,김재환,LF,우투,좌타,9,신규,A,2020,32,140,614,516,82,137,26,1,1,30,113,6,0,91,154,14,6,-6.11,-6.89,-13,4.43,-0.57,65000,고졸,,,,2,144,5776,5046,816,1477,263,20,68,125,778,88,37,551,796,132,73,-16.54,-25.41,-27.23,30.64,-1.48,677600
2022,두산,김재환,LF,우투,좌타,9,신규,A,2021,33,137,566,475,86,130,23,2,5,27,102,2,3,81,127,9,5,-6.54,-6.24,-12.78,4.83,-0.65,76000,고졸,잔류,4,115,2,144,5645,4900,738,1314,235,17,86,110,698,81,37,560,943,137,53,-0.82,-8.17,-11.12,24.7,-0.08,681500
2023,두산,김재환,LF,우투,좌타,,FA 1년차,,2022,34,128,517,448,64,111,24,1,4,23,72,2,1,61,133,5,4,-5.34,-6.32,-11.67,2.97,-0.55,150000,,,,,9,144,5510,4891,638,1249,210,12,71,101,592,90,40,450,1007,116,45,-9.52,-20.71,-19.24,15.56,-0.98,808700
2010,롯데,김주찬,CF,우투,우타,9,신규,A,2009,28,109,479,435,77,135,30,5,6,7,51,34,7,28,56,7,6,-1.34,-8.33,-9.67,2.7,-0.33,10500,고졸,,,,4,,,,,,,,,,,,,,,,,,,,,,
2011,롯데,김주찬,CF,우투,우타,9,신규,A,2010,29,118,535,485,89,134,18,4,5,9,40,65,19,31,65,5,3,-2.88,-10.77,-13.64,1.53,-0.46,15000,고졸,,,,4,,,,,,,,,,,,,,,,,,,,,,
2012,롯데,김주찬,CF,우투,우타,9,신규,A,2011,30,86,371,321,58,100,12,3,7,6,40,25,10,27,38,4,4,-6.23,-3.46,-9.69,2.51,-0.53,17000,고졸,,,,3,,,,,,,,,,,,,,,,,,,,,,
2013,롯데,김주찬,CF,우투,우타,9,신규,A,2012,31,118,488,435,62,128,27,3,7,5,39,32,13,30,48,7,5,-3.17,-6.02,-9.19,3.04,-0.6,27000,고졸,이적,4,50,4,133,5043,4481,509,1179,202,16,54,73,479,119,53,375,890,91,26,-41.49,13.36,-35.33,21.15,-3.15,289700
2014,KIA,김주찬,LF,우투,우타,,FA 1년차,,2013,32,47,195,168,24,51,9,4,4,0,28,23,3,15,18,4,1,2.65,-1.45,1.2,1.45,0.15,50000,,,,,8,128,5051,4318,587,1125,195,13,75,88,545,141,47,537,864,110,42,-87.18,-1.3,-88.48,20.98,-8.2,343600
2015,KIA,김주찬,LF,우투,우타,4,재자격,A,2014,33,100,442,399,72,138,32,4,4,9,46,22,10,31,48,11,2,2.14,-7.08,-4.94,2.27,0.19,50000,고졸,,,,8,128,5023,4443,662,1279,246,27,62,121,631,121,63,416,870,95,35,-26.55,-9.84,-37.32,13.86,-2.36,424500
2016,KIA,김주찬,LF,우투,우타,4,재자격,A,2015,34,98,377,333,66,109,23,2,12,18,62,8,2,23,58,10,8,2.6,-6.98,-4.38,2.37,0.24,50000,고졸,,,,7,144,5454,4777,648,1197,223,22,101,136,602,115,50,454,1126,105,43,-13.96,-24.5,-24.34,6.15,-1.26,658000
2017,KIA,김주찬,LF,우투,우타,4,재자격,A,2016,35,130,555,511,97,177,37,3,7,23,101,9,7,30,68,13,6,8.07,-6.69,1.38,3.85,0.72,50000,고졸,,,,5,144,5696,4999,803,1429,264,28,87,170,754,101,50,499,997,109,45,-5.49,2.85,-16.24,21.24,-0.49,815200
2018,KIA,김주찬,1B,우투,우타,4,재자격,A,2017,36,122,478,440,78,136,39,2,4,12,70,9,2,31,59,17,1,4.68,-8.02,-3.34,2.13,0.43,60000,고졸,잔류,3,27,1,144,5841,5142,906,1554,292,29,89,170,868,76,34,499,891,117,56,-9.65,-22.98,-20.85,31.41,-1.42,897200
2019,KIA,김주찬,1B,우투,우타,,FA 1년차,,2018,37,121,471,429,71,146,23,0,7,18,93,8,1,23,57,15,10,-2.88,-9.03,-11.92,2.11,-0.26,40000,,,,,5,144,5744,5036,865,1487,258,22,99,170,823,88,37,503,905,135,50,-19.26,-26.55,-28.47,24.98,-1.94,1125900
2017,NC,김태군,C,우투,우타,9,신규,A,2016,27,134,395,340,37,79,15,0,9,1,30,0,0,22,44,14,4,2.64,9.48,12.12,-0.74,0.23,21000,고졸,,,,2,144,5833,5007,857,1457,249,19,93,169,808,99,41,609,1023,133,52,6.4,-8.9,-3.55,24.47,0.57,723500
2018,NC,김태군,C,우투,우타,9,신규,A,2017,28,132,420,362,33,96,19,0,22,3,34,0,1,16,43,11,2,9.28,10.08,19.36,1.08,0.85,21000,고졸,,,,4,144,5790,5079,786,1489,277,19,130,149,739,93,32,471,979,119,48,16.48,35.2,6.55,24.87,1.52,713700
2019,군 복무,김태군,,우투,우타,9,신규,A,2018,29,,,,,,,,,,,,,,,,,,,,,,,고졸,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,NC,김태군,C,우투,우타,9,신규,A,2019,30,18,28,22,0,4,0,0,2,0,1,0,0,4,8,1,0,1.76,0.6,2.36,0.08,0.18,23000,고졸,잔류,4,13,5,144,5631,4968,674,1383,249,26,83,128,639,87,45,456,880,126,60,10.59,22.04,3.58,25.29,0.91,796700
2021,NC,김태군,C,우투,우타,,FA 1년차,,2020,31,80,131,113,16,33,6,0,4,1,18,0,0,6,14,3,1,-1.4,2.93,1.53,0.61,-0.13,20000,,,,,1,144,5833,5102,888,1483,258,28,104,187,845,101,38,529,997,106,51,9.88,13.19,2.77,32.11,1.24,741800
2013,한화,김태균,1B,우투,우타,4,재자격,A,2012,30,126,513,416,61,151,24,0,11,16,80,3,1,81,69,11,5,0.31,-10.43,-10.11,8.52,-1.41,150000,고졸,,,,8,133,5057,4331,509,1077,208,12,61,71,479,107,53,538,907,102,27,-1.85,-8.82,-17.89,23.07,-2.79,339800
2014,한화,김태균,1B,우투,우타,4,재자격,A,2013,31,101,430,345,41,110,24,0,8,10,52,0,3,73,67,14,4,-3.78,-9.12,-12.9,4.91,-1.61,150000,고졸,,,,9,128,4915,4271,480,1106,212,13,80,47,448,70,49,479,933,140,30,-7.66,2.52,-5.15,14.72,-2.34,321700
2015,한화,김태균,1B,우투,우타,4,재자격,A,2014,32,118,508,422,66,154,30,0,11,18,84,0,2,70,73,18,5,-7.11,-10.22,-17.33,4.15,-0.63,150000,고졸,,,,9,128,5055,4417,619,1251,223,24,56,104,594,70,41,489,839,125,43,-26.72,-37.95,-35.82,11.41,-2.56,592300
2016,한화,김태균,1B,우투,우타,4,재자격,A,2015,33,133,524,408,61,129,28,0,12,21,104,3,1,98,80,19,5,2.44,-10.65,-8.2,4.43,0.23,150000,고졸,잔류,4,84,6,144,5716,4852,717,1316,218,19,109,130,667,80,47,581,1135,112,35,16.16,31.04,8.26,15.8,1.6,784600
2017,한화,김태균,DH,우투,우타,4,FA 1년차,A,2016,34,144,652,529,94,193,39,0,9,23,136,1,0,108,97,11,6,2.2,-14.66,-12.46,6.5,0.19,160000,고졸,,,,7,144,5838,5109,826,1478,242,27,91,142,787,64,38,510,1025,123,41,-14.51,7.95,-22.75,17.03,-1.29,1065400
2018,한화,김태균,DH,우투,우타,4,재자격,A,2017,35,94,407,356,51,121,22,0,4,17,76,0,0,43,56,13,4,-1.98,-9.54,-11.51,2.63,-0.18,160000,고졸,,,,8,144,5665,5030,737,1445,261,16,94,150,684,64,44,416,974,112,38,7.63,0.63,-0.35,19.39,0.85,1083900
2019,한화,김태균,DH,우투,우타,4,재자격,A,2018,36,73,271,254,25,80,11,0,4,10,34,0,1,13,56,7,0,0.3,-6.1,-5.8,0.45,0.03,140000,고졸,,,,3,144,5539,4972,729,1369,249,14,88,151,668,118,64,420,1098,113,28,24.57,11.38,15.86,12.72,2.19,562100
2020,한화,김태균,DH,우투,우타,4,재자격,A,2019,37,127,500,433,47,132,21,0,5,6,62,3,0,54,94,15,8,-2.52,-11.39,-13.91,1.58,-0.26,100000,고졸,잔류,1,10,9,144,5482,4882,607,1250,223,16,70,88,562,105,51,441,1090,112,45,-21.24,-0.29,-27.17,12.6,-2.18,668000
2021,한화,김태균,DH,우투,우타,,FA 1년차,,2020,38,67,254,219,14,48,11,0,2,2,29,0,0,30,42,8,2,0.64,-5.22,-4.58,-0.74,0.06,50000,,,,,10,144,5483,4862,551,1189,195,12,89,79,523,51,36,462,1163,119,25,-16.48,-9.83,-23.31,2.35,-1.25,516500
2013,두산,김현수,LF,우투,좌타,9,신규,A,2012,24,122,491,437,47,127,17,1,3,7,65,6,3,46,50,9,5,3.06,-6.05,-2.99,3.36,-0.16,30000,고졸,,,,3,133,4938,4379,524,1139,172,26,54,59,490,116,51,362,659,129,40,25.84,9.99,28.8,17.39,0.02,299900
2014,두산,김현수,LF,우투,좌타,9,신규,A,2013,25,122,510,434,63,131,23,1,2,16,90,2,4,62,71,6,12,0.92,-5.56,-4.63,4.51,-0.29,31000,고졸,,,,2,128,5142,4401,699,1271,217,37,79,95,654,172,61,524,717,105,56,8.01,-0.56,7.44,36.32,1.04,345000
2015,두산,김현수,LF,우투,좌타,9,신규,A,2014,26,125,528,463,75,149,26,0,7,17,90,2,0,53,45,10,5,-2.82,-5.27,-8.09,3.32,-0.25,45000,고졸,,,,6,128,5083,4427,687,1299,235,26,64,108,646,111,44,468,731,103,43,-11.11,-15.9,-19.65,19.88,-0.98,336800
2016,두산,김현수,LF,우투,좌타,9,신규,A,2015,27,141,630,512,103,167,26,0,8,28,121,11,5,101,63,13,9,-3.6,-7.54,-11.15,6.55,-0.33,75000,고졸,이적,4,115,1,144,5759,4957,807,1436,254,22,99,140,770,111,47,567,820,139,60,4.5,-15.85,-3.26,29.31,0.42,588000
2019,LG,김현수,LF,우투,좌타,4,FA 1년차,B,2018,30,117,511,453,95,164,39,2,1,20,101,1,3,47,61,9,10,-0.89,-7.63,-8.51,4.91,-0.08,140000,고졸,,,,8,144,5665,5070,788,1487,299,12,75,148,740,71,38,418,1001,125,51,-27.85,-22.4,-35.85,21.66,-2.31,851800
2020,LG,김현수,LF,우투,좌타,4,자격유지,B,2019,31,140,595,526,75,160,37,0,6,11,82,3,1,54,52,11,9,-2.13,-8.03,-10.16,3.27,-0.22,130000,고졸,,,,4,144,5536,4928,641,1316,233,15,77,94,604,108,47,434,962,117,48,11.94,14.3,3.53,20.38,1.23,745100
2021,LG,김현수,LF,우투,좌타,4,자격유지,B,2020,32,142,619,547,98,181,35,2,2,22,119,0,2,63,53,9,7,-5.28,-8.25,-13.52,5.17,-0.5,130000,고졸,,,,4,144,5681,4999,802,1384,253,29,75,149,760,83,39,509,969,115,49,3.39,0.85,-5.11,26.1,0.33,703800
2022,LG,김현수,LF,우투,좌타,4,자격유지,B,2021,33,140,595,506,70,144,23,1,3,17,96,3,0,77,42,7,9,-1.87,-9.75,-11.62,3.53,-0.19,100000,고졸,잔류,6,115,4,144,5533,4750,654,1188,210,11,94,110,621,92,34,592,926,102,45,15.39,5.93,6.34,20.58,1.28,610000
2023,LG,김현수,LF,우투,좌타,,FA 1년차,,2022,34,141,604,524,78,150,25,2,5,23,106,2,1,71,62,5,3,-3.42,-8.75,-12.17,4.53,-0.35,150000,,,,,3,144,5627,4927,715,1325,208,33,103,118,674,102,46,501,924,109,46,21.98,24.7,13.13,28.62,2.26,784300
2019,NC,나성범,RF,좌투,좌타,8,신규,A,2018,29,144,620,556,110,177,36,3,15,23,91,15,2,44,131,11,5,5.78,-6.33,-0.54,3.65,0.52,43000,대졸,,,,10,144,5488,4895,660,1280,233,18,88,143,629,82,35,427,1081,115,43,2.07,19.6,-8.48,5.69,0.25,544500
2020,NC,나성범,RF,좌투,좌타,8,신규,A,2019,30,23,106,93,19,34,12,1,1,4,14,2,1,12,26,2,0,0.8,-0.21,0.59,1.63,0.08,55000,대졸,,,,5,144,5631,4968,674,1383,249,26,83,128,639,87,45,456,880,126,60,10.59,22.04,3.58,25.29,0.91,796700
2021,NC,나성범,DH,좌투,좌타,8,신규,A,2020,31,130,584,525,115,170,37,2,9,34,112,3,1,49,148,6,1,-0.34,-11.08,-11.42,4.96,-0.03,50000,대졸,,,,1,144,5833,5102,888,1483,258,28,104,187,845,101,38,529,997,106,51,9.88,13.19,2.77,32.11,1.24,741800
2022,NC,나성범,DH,좌투,좌타,8,신규,A,2021,32,144,623,570,96,160,29,1,11,33,101,1,2,38,155,5,4,-2.41,-7.07,-9.48,3.16,-0.24,78000,대졸,이적,6,150,7,144,5532,4808,702,1254,203,17,111,170,670,101,46,511,1093,94,43,-14.94,3.78,-23.57,22.15,-0.97,838500
2023,KIA,나성범,RF,좌투,좌타,,FA 1년차,,2022,33,144,649,563,92,180,39,2,17,21,97,6,1,64,137,7,5,3.25,-7.23,-3.99,6.6,0.33,200000,,,,,5,144,5703,5000,720,1361,250,19,63,113,677,103,34,542,983,111,36,5.59,3.87,-1.59,28.69,0.19,567000
2012,군 복무,나주환,,우투,우타,9,신규,A,2011,27,,,,,,,,,,,,,,,,,,,,,,,고졸,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,군 복무,나주환,,우투,우타,9,신규,A,2012,28,,,,,,,,,,,,,,,,,,,,,,,고졸,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,SK,나주환,2B,우투,우타,9,신규,A,2013,29,15,24,23,0,2,0,0,0,0,0,0,0,0,8,0,0,-3.07,0.51,-2.56,-0.42,-0.23,17000,고졸,,,,6,128,4950,4278,588,1134,189,20,86,124,558,144,63,465,918,99,37,33.96,0.05,34.01,21.13,2.79,404600
2015,SK,나주환,2B,우투,우타,9,신규,A,2014,30,127,478,422,64,115,25,0,3,7,51,10,3,36,101,8,3,-2.8,4.75,1.95,0.64,-0.25,20000,고졸,잔류,2,5.5,5,128,5082,4423,735,1285,245,22,72,115,696,139,46,447,926,92,49,8.13,9.44,0.35,15.79,0.21,489800
2016,SK,나주환,2B,우투,우타,,,,2015,31,96,273,246,31,66,15,0,2,5,22,3,5,12,47,9,1,-1.47,2.82,1.35,0.21,-0.14,20000,,,,,5,144,5588,4861,693,1323,214,10,98,145,656,94,59,490,1047,113,29,-20.69,-5.15,-29.84,14.72,-1.07,756700
2014,KIA,나지완,LF,우투,우타,8,신규,A,2013,28,125,522,435,57,125,18,0,18,21,96,7,3,62,111,12,5,-6.52,-7.19,-13.71,4.76,-1.48,15000,대졸,,,,8,128,5051,4318,587,1125,195,13,75,88,545,141,47,537,864,110,42,-87.18,-1.3,-88.48,20.98,-8.2,343600
2015,KIA,나지완,LF,우투,우타,8,신규,A,2014,29,118,470,398,64,124,22,0,12,19,79,3,3,54,97,9,6,-4.42,-8.55,-12.97,2.63,-0.39,20000,대졸,,,,8,128,5023,4443,662,1279,246,27,62,121,631,121,63,416,870,95,35,-26.55,-9.84,-37.32,13.86,-2.36,424500
2016,KIA,나지완,LF,우투,우타,8,신규,A,2015,30,116,368,304,34,77,16,0,16,7,31,3,1,46,79,10,2,-9.18,-5.32,-14.51,0.86,-0.85,25000,대졸,,,,7,144,5454,4777,648,1197,223,22,101,136,602,115,50,454,1126,105,43,-13.96,-24.5,-24.34,6.15,-1.26,658000
2017,KIA,나지완,LF,우투,우타,8,신규,A,2016,31,118,486,380,84,117,21,2,17,25,90,6,3,85,90,8,4,-2.28,-10.99,-13.27,4.29,-0.2,20000,대졸,잔류,4,40,5,144,5696,4999,803,1429,264,28,87,170,754,101,50,499,997,109,45,-5.49,2.85,-16.24,21.24,-0.49,815200
2018,KIA,나지완,DH,우투,우타,,FA 1년차,,2017,32,137,551,459,85,138,20,3,23,27,94,1,1,62,105,10,7,-2.71,-12.02,-14.74,3.47,-0.25,60000,,,,,1,144,5841,5142,906,1554,292,29,89,170,868,76,34,499,891,117,56,-9.65,-22.98,-20.85,31.41,-1.42,897200
2020,NC,노진혁,SS,우투,좌타,7,신규,B,2019,30,110,390,348,51,92,23,2,2,13,43,0,1,31,80,7,3,7.24,4.78,12.02,2.22,0.74,10000,대졸,,,,5,144,5631,4968,674,1383,249,26,83,128,639,87,45,456,880,126,60,10.59,22.04,3.58,25.29,0.91,796700
2021,NC,노진혁,SS,우투,좌타,7,신규,B,2020,31,132,484,427,70,117,22,3,5,20,82,0,4,49,106,8,0,5.76,9.12,14.88,3.53,0.54,14000,대졸,,,,1,144,5833,5102,888,1483,258,28,104,187,845,101,38,529,997,106,51,9.88,13.19,2.77,32.11,1.24,741800
2022,NC,노진혁,SS,우투,좌타,7,신규,B,2021,32,107,384,330,41,95,22,0,5,8,58,1,1,42,90,3,3,-0.99,4.77,3.78,2.95,-0.1,23000,대졸,,,,7,144,5532,4808,702,1254,203,17,111,170,670,101,46,511,1093,94,43,-14.94,3.78,-23.57,22.15,-0.97,838500
