iter	Passed	Remaining
414	2900	4088
415	2907	4081
416	2912	4072
417	2919	4064
418	2925	4056
419	2932	4050
420	2939	4042
421	2945	4034
422	2952	4027
423	2959	4020
424	2968	4015
425	2973	4006
426	2980	3999
427	2987	3992
428	2993	3983
429	3001	3978
430	3008	3972
431	3015	3965
432	3020	3955
433	3027	3948
434	3034	3940
435	3040	3933
436	3047	3926
437	3054	3919
438	3061	3911
439	3067	3904
440	3075	3898
441	3082	3890
442	3088	3882
443	3093	3874
444	3100	3867
445	3108	3860
446	3114	3852
447	3121	3846
448	3128	3838
449	3134	3830
450	3140	3823
451	3147	3815
452	3153	3807
453	3159	3800
454	3167	3793
455	3174	3787
456	3182	3780
457	3188	3773
458	3194	3765
459	3201	3757
460	3209	3752
461	3217	3747
462	3225	3741
463	3233	3734
464	3241	3729
465	3249	3723
466	3258	3718
467	3267	3714
468	3275	3708
469	3280	3699
470	3287	3692
471	3293	3684
472	3301	3678
473	3309	3672
474	3317	3666
475	3323	3659
476	3331	3652
477	3336	3644
478	3343	3636
479	3349	3628
480	3355	3620
481	3360	3611
482	3367	3604
483	3376	3599
484	3386	3595
485	3395	3590
486	3403	3585
487	3412	3580
488	3422	3576
489	3427	3567
490	3435	3561
491	3444	3556
492	3450	3548
493	3456	3540
494	3464	3534
495	3471	3527
496	3479	3521
497	3487	3515
498	3496	3510
499	3505	3505
500	3514	3500
501	3522	3494
502	3528	3486
503	3536	3480
504	3543	3473
505	3552	3468
506	3560	3461
507	3565	3453
508	3575	3448
509	3582	3442
510	3591	3436
511	3598	3430
512	3606	3423
513	3612	3416
514	3620	3409
515	3627	3402
516	3635	3396
517	3644	3391
518	3651	3384
519	3660	3379
520	3668	3372
521	3677	3367
522	3685	3360
523	3693	3355
524	3701	3348
525	3709	3342
526	3716	3335
527	3723	3328
528	3729	3321
529	3737	3314
530	3746	3308
531	3753	3302
532	3759	3294
533	3767	3287
534	3772	3278
535	3780	3272
536	3787	3265
537	3793	3257
538	3800	3250
539	3805	3241
540	3812	3235
541	3819	3227
542	3825	3220
543	3832	3212
544	3838	3204
545	3845	3197
546	3851	3190
547	3858	3182
548	3865	3175
549	3871	3167
550	3878	3160
551	3886	3154
552	3892	3146
553	3899	3139
554	3904	3130
555	3911	3123
556	3918	3116
557	3923	3108
558	3928	3099
559	3934	3091
560	3940	3083
561	3947	3076
562	3952	3068
563	3959	3060
564	3966	3054
565	3973	3046
566	3979	3038
567	3985	3031
568	3991	3023
569	3997	3015
570	4004	3008
571	4011	3001
572	4017	2994
573	4022	2985
574	4027	2977
575	4035	2970
576	4042	2963
577	4048	2955
578	4055	2948
579	4061	2941
580	4068	2934
581	4074	2926
582	4082	2919
583	4089	2913
584	4094	2904
585	4100	2897
586	4107	2889
587	4112	2881
588	4119	2874
589	4125	2866
590	4132	2859
591	4140	2853
592	4147	2846
593	4155	2840
594	4162	2832
595	4169	2826
596	4176	2818
597	4182	2811
598	4189	2804
599	4196	2797
600	4202	2790
601	4208	2782
602	4215	2775
603	4223	2768
604	4229	2761
605	4237	2755
606	4243	2747
607	4250	2740
608	4256	2733
609	4263	2725
610	4270	2718
611	4275	2710
612	4282	2703
613	4288	2696
614	4296	2689
615	4302	2682
616	4309	2674
617	4315	2667
618	4321	2659
619	4328	2652
620	4335	2645
621	4342	2639
622	4348	2631
623	4355	2624
624	4363	2618
625	4371	2611
626	4378	2604
627	4385	2597
628	4391	2590
629	4399	2583
630	4405	2576
631	4411	2568
632	4418	2561
633	4424	2553
634	4429	2546
635	4437	2539
636	4443	2532
637	4449	2524
638	4456	2517
639	4463	2510
640	4470	2503
641	4477	2496
642	4485	2490
643	4493	2484
644	4499	2476
645	4505	2468
646	4512	2462
647	4520	2455
648	4528	2448
649	4535	2442
650	4540	2434
651	4548	2427
652	4554	2420
653	4561	2413
654	4567	2405
655	4574	2398
656	4580	2391
657	4587	2384
658	4593	2376
659	4599	2369
660	4604	2361
661	4611	2354
662	4617	2347
663	4622	2339
664	4628	2331
665	4635	2324
666	4640	2316
667	4646	2309
668	4653	2302
669	4659	2295
670	4667	2288
671	4673	2281
672	4678	2273
673	4684	2265
674	4691	2258
675	4697	2251
676	4702	2243
677	4709	2236
678	4715	2229
679	4722	2222
680	4727	2214
681	4736	2208
682	4742	2201
683	4749	2194
684	4756	2187
685	4762	2179
686	4769	2172
687	4775	2165
688	4781	2158
689	4789	2151
690	4797	2145
691	4805	2139
692	4813	2132
693	4819	2125
694	4826	2118
695	4833	2111
696	4840	2104
697	4849	2098
698	4855	2090
699	4862	2083
700	4869	2077
701	4876	2069
702	4883	2063
703	4889	2055
704	4895	2048
705	4900	2040
706	4907	2033
707	4914	2026
708	4921	2019
709	4927	2012
710	4934	2005
711	4940	1998
712	4948	1991
713	4954	1984
714	4960	1977
715	4966	1969
716	4973	1962
717	4979	1955
718	4985	1948
719	4991	1941
720	4996	1933
721	5003	1926
722	5010	1919
723	5018	1912
724	5025	1906
725	5031	1898
726	5038	1891
727	5044	1884
728	5051	1877
729	5056	1870
730	5063	1863
731	5069	1855
732	5077	1849
733	5084	1842
734	5090	1835
735	5097	1828
736	5105	1821
737	5111	1814
738	5118	1807
739	5124	1800
740	5132	1793
741	5137	1786
742	5143	1779
743	5150	1772
744	5155	1764
745	5163	1758
746	5170	1751
747	5177	1744
748	5183	1737
749	5190	1730
750	5198	1723
751	5205	1716
752	5211	1709
753	5218	1702
754	5224	1695
755	5230	1688
756	5238	1681
757	5245	1674
758	5253	1668
759	5260	1661
760	5267	1654
761	5275	1647
762	5284	1641
763	5291	1634
764	5297	1627
765	5303	1620
766	5309	1613
767	5316	1605
768	5322	1598
769	5329	1591
770	5336	1584
771	5342	1577
772	5349	1570
773	5356	1563
774	5362	1556
775	5368	1549
776	5375	1542
777	5382	1535
778	5390	1529
779	5397	1522
780	5404	1515
781	5412	1508
782	5419	1501
783	5426	1495
784	5432	1487
785	5438	1480
786	5445	1473
787	5452	1466
788	5459	1460
789	5466	1453
790	5472	1446
791	5478	1438
792	5485	1431
793	5491	1424
794	5498	1417
795	5504	1410
796	5510	1403
797	5517	1396
798	5525	1390
799	5532	1383
800	5537	1375
801	5543	1368
802	5549	1361
803	5555	1354
804	5560	1346
805	5566	1339
806	5573	1332
807	5579	1325
808	5586	1318
809	5592	1311
810	5601	1305
811	5609	1298
812	5617	1292
813	5624	1285
814	5630	1278
815	5638	1271
816	5644	1264
817	5652	1257
818	5658	1250
819	5666	1243
820	5674	1237
821	5681	1230
822	5688	1223
823	5694	1216
824	5701	1209
825	5708	1202
826	5716	1195
827	5722	1188
828	5727	1181
829	5731	1173
830	5737	1166
831	5742	1159
832	5746	1152
833	5752	1144
834	5757	1137
835	5765	1130
836	5770	1123
837	5779	1117
838	5785	1110
839	5791	1103
840	5797	1096
841	5804	1089
842	5810	1082
843	5818	1075
844	5825	1068
845	5832	1061
846	5837	1054
847	5842	1047
848	5848	1040
849	5853	1032
850	5857	1025
851	5863	1018
852	5869	1011
853	5874	1004
854	5878	996
855	5885	990
856	5893	983
857	5899	976
858	5905	969
859	5910	962
860	5916	955
861	5922	948
862	5929	941
863	5935	934
864	5941	927
865	5948	920
866	5955	913
867	5960	906
868	5968	899
869	5976	893
870	5984	886
871	5991	879
872	6000	872
873	6007	866
874	6014	859
875	6021	852
876	6028	845
877	6034	838
878	6044	832
879	6054	825
880	6061	818
881	6070	812
882	6076	805
883	6083	798
884	6089	791
885	6096	784
886	6103	777
887	6109	770
888	6115	763
889	6122	756
890	6131	750
891	6135	742
892	6142	735
893	6148	729
894	6154	722
895	6160	715
896	6166	708
897	6172	701
898	6178	694
899	6185	687
900	6191	680
901	6198	673
902	6204	666
903	6211	659
904	6218	652
905	6226	645
906	6232	639
907	6239	632
908	6245	625
909	6251	618
910	6259	611
911	6265	604
912	6271	597
913	6279	590
914	6286	583
915	6293	577
916	6301	570
