iter	RMSE
501	1364.082159
502	1356.7329
503	1347.74036
504	1343.367417
505	1334.515683
506	1330.202303
507	1319.918623
508	1315.672121
509	1306.858191
510	1302.680836
511	1294.020158
512	1286.350215
513	1278.771813
514	1270.620891
515	1263.36608
516	1256.20308
517	1247.193433
518	1237.250049
519	1233.470757
520	1229.732013
521	1222.912491
522	1212.685889
523	1206.012942
524	1199.425199
525	1190.885435
526	1187.337372
527	1183.827475
528	1174.534149
529	1171.088007
530	1162.368072
531	1156.928458
532	1148.425571
533	1145.080776
534	1139.749952
535	1136.89492
536	1128.487924
537	1123.256853
538	1115.447523
539	1110.3066
540	1107.726889
541	1103.097239
542	1098.559987
543	1093.508721
544	1085.828908
545	1081.491216
546	1078.521506
547	1074.037465
548	1069.658552
549	1062.229491
550	1054.404029
551	1051.524224
552	1043.836839
553	1041.003554
554	1033.779354
555	1029.747474
556	1022.156867
557	1014.690391
558	1007.409354
559	1000.162732
560	994.6672895
561	988.907958
562	983.2248354
563	977.86654
564	970.9694196
565	965.4700798
566	962.6713744
567	957.4590499
568	952.5076973
569	946.1094072
570	941.2392572
571	936.4212529
572	931.6548767
573	925.26404
574	920.2198986
575	914.2982351
576	909.6647403
577	905.080772
578	899.2929149
579	894.7856857
580	890.3266353
581	884.6688236
582	880.284206
583	874.7267047
584	870.4150361
585	865.4065886
586	859.9783445
587	855.7732596
588	850.4408315
589	846.3945737
590	841.5651018
591	836.3485511
592	832.3825316
593	827.2523142
594	821.7606171
595	817.8892163
596	812.8633618
597	807.9612418
598	803.0191936
599	798.1419519
600	794.3890106
601	789.592457
602	785.0049442
603	780.2815507
604	775.5893852
605	770.9447995
606	765.8984901
607	761.4444853
608	757.8882943
609	753.3855989
610	749.0363145
611	744.1559924
612	740.6965739
613	736.3313061
614	732.0938384
615	728.7116239
616	723.9983675
617	719.860997
618	715.6372096
619	711.3702064
620	708.2684266
621	705.1964417
622	701.9563034
623	698.9251436
624	694.9411296
625	691.9463381
626	688.0266939
627	685.0676263
628	681.6043749
629	678.68669
630	675.6043268
631	672.725023
632	668.9355903
633	666.5327636
634	664.1647416
635	660.2621667
636	656.7554817
637	654.4563646
638	651.5167945
639	648.6040731
640	645.7179525
641	643.4847078
642	640.6356122
643	638.4180305
644	634.9065674
645	631.0576434
646	628.8877485
647	624.3806797
648	620.6035959
649	616.1766438
650	612.4651748
651	608.1168172
652	605.0934905
653	600.0820784
654	596.8166045
655	592.625156
656	589.0451338
657	586.0115583
658	582.4958908
659	580.0517954
660	575.9964274
661	571.9716237
662	568.5666205
663	565.6626319
664	563.6661137
665	560.4488349
666	558.4886689
667	556.5567612
668	553.2800629
669	551.3846799
670	548.6394822
671	546.778646
672	544.3539639
673	540.9816269
674	539.3188703
675	537.5244271
676	535.8974444
677	533.9440155
678	532.0219435
679	529.2298562
680	526.4698927
681	522.8501051
682	520.1371162
683	517.2198596
684	515.3632444
685	512.6937884
686	510.0549602
687	508.236887
688	505.6328381
689	502.6952558
690	500.9188618
691	498.3575085
692	495.7108645
693	493.2028591
694	490.437022
695	488.8320846
696	487.1259897
697	484.6598636
698	481.4052726
699	478.0282435
700	475.2572582
701	472.751054
702	470.3842275
703	467.7558557
704	466.2324887
705	464.6193783
706	463.0310133
707	460.7068347
708	457.5739025
709	455.1741851
710	452.9106852
711	450.3914294
712	448.8576558
713	446.5164896
714	444.3089734
715	442.0165501
716	440.1618517
717	439.0423707
718	436.3018856
719	435.516153
720	432.8172229
721	430.9957665
722	430.2245252
723	428.8552173
724	425.9697056
725	423.3281526
726	421.9852932
727	419.3837301
728	418.0559423
729	415.6422869
730	413.9021851
731	411.5281201
732	410.4871737
733	408.7684828
734	407.4091094
735	405.4632505
736	404.1927178
737	401.8914773
738	400.2111456
739	398.9994643
740	397.3381464
741	396.5781678
742	395.3421689
743	393.7007146
744	392.95297
745	391.6735634
746	389.8933691
747	388.579244
748	386.4397094
749	384.6905582
750	383.4911495
751	381.0415824
752	379.9157028
753	378.1920932
754	377.0827282
755	375.3789874
756	373.3405888
757	372.2538497
758	370.572981
759	369.553398
760	367.8898166
761	366.8798898
762	365.233378
763	364.2329719
764	362.6033159
765	360.6506621
766	359.613654
767	358.0057782
768	357.0320925
769	355.4406164
770	354.4760134
771	352.900735
772	349.9297533
773	348.3816951
774	347.432974
775	345.900648
776	344.9606841
777	342.0682699
778	340.5616547
779	339.6378321
780	338.1464747
781	335.3231985
782	334.4152318
783	332.9488179
784	332.0491601
785	330.5975473
786	327.8489706
787	325.2159163
788	324.3372325
789	323.4673551
790	321.8488977
791	320.9866057
792	318.6059819
793	317.7548215
794	315.4226901
795	313.4310677
796	310.9359225
797	310.1091744
798	309.2907781
799	307.9253459
800	307.1144876
801	305.1755966
802	304.2450183
803	303.3236405
804	301.4231588
805	300.6328105
806	299.7285978
807	298.9512996
808	296.7841006
809	294.4391291
810	293.5604328
811	292.6904589
812	290.3970475
813	289.0108228
814	287.2193155
815	285.4494798
816	283.6711784
817	282.3319487
818	280.920136
819	279.5297691
820	278.2353748
821	276.5313133
822	275.1487653
823	273.8024263
824	272.4766188
825	271.1710609
826	268.9530085
827	267.7325131
828	265.5572913
829	264.3634843
830	262.3826406
831	260.7921502
832	259.4686156
833	258.2538029
834	256.4444251
835	254.8903458
836	253.5989664
837	252.1628355
838	250.8910766
839	249.6336429
840	247.6211749
841	246.3862306
842	245.1889726
843	244.6184418
844	243.3997343
845	242.2453755
846	240.3879851
847	239.7864871
848	239.1913233
849	237.9957372
850	237.4067427
851	236.2244135
852	235.0552972
853	234.4722355
854	233.3160196
855	232.1727102
856	231.5954277
857	230.4646745
858	229.3465309
859	228.7748808
860	227.668961
861	227.1030732
862	226.0092066
863	224.9275127
864	224.3669608
865	223.296505
866	222.7797683
867	221.671237
868	221.1186695
869	220.5709669
870	219.4761617
871	218.9332804
872	217.8522009
873	217.3142013
874	216.781127
875	215.7133975
876	215.184795
877	214.6616259
878	213.6070612
879	213.0876795
880	212.5737267
881	211.1389135
882	210.1272883
883	209.1269714
884	208.1378416
885	207.1597789
886	206.6496302
887	205.6520393
888	205.1467411
889	204.1860911
890	203.6845712
891	202.6323662
892	201.6908305
893	201.193068
894	200.2612577
895	199.7675158
896	198.8667545
897	198.3773771
898	197.4626927
899	196.4990579
900	196.0139484
901	195.5337692
902	194.5386781
903	193.6485161
904	193.0935494
905	192.6171887
906	191.7610492
907	191.2191579
908	190.302867
909	189.8328998
910	189.3671014
911	188.4141761
912	187.5875798
913	187.1246159
914	186.2383826
915	185.7804139
916	185.3271303
917	184.5165409
918	184.0665039
919	183.2653217
920	182.8191388
921	181.9126871
922	181.1724159
923	180.6971782
924	179.8371494
925	179.3663185
926	178.9007483
927	178.1293536
928	177.3221056
929	176.8596414
930	176.2530505
931	175.7944727
932	174.6576878
933	173.9121334
934	173.4596787
935	172.7605594
936	172.3122087
937	171.7252017
938	171.2805946
939	170.1835268
940	169.4616788
941	169.0229398
942	168.2298938
943	167.7951682
944	166.7298674
945	166.3019122
