FA년도,구단명,선수명,세부 포지션,투,구분,FA등급,플레이년도,나이,게임수,선발등판,구원등판,승리,패전,세이브,블론세이브,홀드,블론홀드,이닝수,자책점,피안타,2루타허용,3루타허용,피홈런,볼넷허용,사구허용,탈삼진,폭투,ERA,FIP,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,잔류 여부,FA 계약 연수,FA 계약 총액
2012,삼성,권혁,RP,좌투,신규,A,2011,28.0,58.0,0.0,58.0,1.0,3.0,0.0,1.0,19.0,0.0,48.1,15.0,38.0,6.0,0.0,2.0,22.0,2.0,27.0,2.0,2.79,4.2,0.0,48.1,0.0,1.27,1.27,19000.0,고졸,잔류,0.0,0.0
2013,삼성,권혁,RP,좌투,신규,A,2012,29.0,64.0,0.0,64.0,2.0,3.0,1.0,0.0,18.0,0.0,49.1,17.0,48.0,9.0,3.0,2.0,20.0,1.0,38.0,2.0,3.1,3.24,0.0,49.1,0.0,1.2,1.2,22000.0,고졸,잔류,0.0,0.0
2014,삼성,권혁,RP,좌투,신규,A,2013,30.0,52.0,0.0,52.0,0.0,1.0,0.0,0.0,3.0,0.0,36.1,16.0,35.0,5.0,1.0,5.0,16.0,1.0,41.0,1.0,3.96,4.07,0.0,36.1,0.0,0.43,0.43,26000.0,고졸,잔류,0.0,0.0
2015,삼성,권혁,RP,좌투,신규,A,2014,31.0,38.0,0.0,38.0,3.0,2.0,0.0,1.0,1.0,0.0,34.2,11.0,27.0,7.0,0.0,4.0,11.0,0.0,38.0,1.0,2.86,3.87,0.0,34.2,0.0,1.01,1.01,26000.0,고졸,이적,4.0,32.0
2016,한화,권혁,CP,좌투,FA 1년차,A,2015,32.0,78.0,0.0,78.0,9.0,13.0,17.0,8.0,6.0,0.0,112.0,62.0,124.0,21.0,1.0,15.0,53.0,5.0,88.0,5.0,4.98,5.19,0.0,112.0,0.0,1.15,1.15,45000.0,고졸,잔류,0.0,0.0
2016,키움,금민철,SP,좌투,신규,A,2015,29.0,7.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,11.0,25.0,4.0,0.0,2.0,14.0,2.0,11.0,0.0,4.5,6.18,19.1,2.2,0.69,0.08,0.76,8800.0,고졸,잔류,0.0,0.0
2017,키움,금민철,RP,좌투,신규,A,2016,30.0,14.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,26.1,15.0,36.0,4.0,1.0,2.0,9.0,1.0,16.0,2.0,5.13,4.8,5.1,21.0,-0.23,0.36,0.13,7900.0,고졸,잔류,0.0,0.0
2018,키움,금민철,RP,좌투,신규,A,2017,31.0,36.0,7.0,29.0,4.0,4.0,0.0,0.0,3.0,0.0,54.0,38.0,81.0,14.0,1.0,3.0,33.0,3.0,42.0,2.0,6.33,4.99,24.0,30.0,0.1,0.34,0.44,7300.0,고졸,잔류,0.0,0.0
2019,KT,금민철,SP,좌투,신규,A,2018,32.0,29.0,29.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,156.1,94.0,212.0,30.0,1.0,19.0,68.0,7.0,79.0,10.0,5.41,6.0,156.1,0.0,2.5,0.0,2.5,8000.0,고졸,잔류,2.0,7.0
2020,KT,금민철,SP,좌투,FA 1년차,A,2019,33.0,14.0,14.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,57.0,32.0,66.0,7.0,1.0,5.0,25.0,7.0,26.0,4.0,5.05,5.45,57.0,0.0,0.4,0.0,0.4,15000.0,고졸,잔류,0.0,0.0
2014,SSG,김광현,SP,좌투,신규,A,2013,25.0,25.0,22.0,3.0,10.0,9.0,0.0,1.0,0.0,0.0,133.0,66.0,128.0,31.0,3.0,12.0,68.0,4.0,102.0,9.0,4.47,4.63,127.2,5.1,1.76,0.03,1.79,24000.0,고졸,잔류,0.0,0.0
2015,SSG,김광현,SP,좌투,신규,A,2014,26.0,28.0,28.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,173.2,66.0,178.0,36.0,4.0,10.0,81.0,3.0,145.0,9.0,3.42,4.35,173.2,0.0,6.55,0.0,6.55,27000.0,고졸,잔류,0.0,0.0
2016,SSG,김광현,SP,좌투,신규,A,2015,27.0,30.0,29.0,1.0,14.0,6.0,0.0,0.0,1.0,0.0,176.2,73.0,173.0,33.0,0.0,19.0,66.0,3.0,160.0,10.0,3.72,4.32,176.1,0.1,5.14,0.03,5.18,60000.0,고졸,잔류,0.0,0.0
2017,SSG,김광현,SP,좌투,신규,A,2016,28.0,27.0,21.0,6.0,11.0,8.0,0.0,0.0,1.0,1.0,137.0,59.0,139.0,21.0,2.0,17.0,41.0,6.0,116.0,3.0,3.88,4.64,126.2,10.1,3.9,0.22,4.12,85000.0,고졸,미국,4.0,85.0
2021,삼성,김대우,RP,우언,자격유지,C,2020,32.0,28.0,9.0,19.0,3.0,7.0,0.0,0.0,1.0,1.0,77.2,44.0,95.0,17.0,1.0,9.0,26.0,6.0,37.0,1.0,5.1,5.46,41.0,36.2,0.71,0.55,1.26,11500.0,신규 35세 23년 C등급,잔류,0.0,0.0
2022,삼성,김대우,RP,우언,자격유지,C,2021,33.0,31.0,4.0,27.0,0.0,2.0,0.0,0.0,1.0,0.0,51.0,36.0,68.0,18.0,0.0,7.0,15.0,2.0,27.0,1.0,6.35,5.05,15.0,36.0,-0.23,0.36,0.13,15500.0,신규 35세 23년 C등급,잔류,0.0,0.0
2023,삼성,김대우,RP,우언,자격유지,C,2022,34.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,4.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.08,0.9,0.0,4.1,0.0,0.16,0.16,12000.0,신규 35세 23년 C등급,잔류,0.0,0.0
2024,삼성,김대우,RP,우언,자격유지,C,2023,35.0,44.0,5.0,39.0,0.0,2.0,0.0,0.0,4.0,3.0,64.0,32.0,66.0,9.0,1.0,7.0,22.0,3.0,49.0,1.0,4.5,4.4,21.0,43.0,0.2,0.2,0.39,7000.0,신규 35세 23년 C등급,잔류,2.0,4.0
2025,삼성,김대우,RP,우언,FA 1년차,C,2024,36.0,32.0,1.0,31.0,0.0,0.0,0.0,0.0,5.0,0.0,34.1,21.0,42.0,9.0,0.0,4.0,9.0,3.0,23.0,1.0,5.5,4.81,2.1,32.0,-0.03,0.34,0.31,10000.0,신규 35세 23년 C등급,잔류,0.0,0.0
2012,롯데,김사율,CP,우투,신규,A,2011,31.0,61.0,0.0,61.0,5.0,3.0,20.0,0.0,2.0,0.0,66.1,24.0,60.0,12.0,3.0,4.0,22.0,2.0,54.0,7.0,3.26,3.29,0.0,66.1,0.0,1.92,1.92,6000.0,고졸,잔류,0.0,0.0
2013,롯데,김사율,CP,우투,신규,A,2012,32.0,50.0,0.0,50.0,2.0,3.0,34.0,0.0,1.0,0.0,45.1,15.0,45.0,6.0,1.0,4.0,11.0,2.0,43.0,6.0,2.98,3.05,0.0,45.1,0.0,1.22,1.22,13000.0,고졸,잔류,0.0,0.0
